"","C3L-07034","C3N-01011","C3L-00819","C3L-02610","C3L-00102","C3N-01998","C3L-03513","C3N-03780","C3N-02768","C3L-02899","C3N-02589","C3L-07036","C3N-03069","C3L-07035","C3L-07032","C3N-00517","C3L-00640","C3L-04072","C3N-03440","C3L-02606","C3N-00518","C3L-01637","C3L-03123","C3N-02010","C3L-02809","C3N-00436","C3L-07033"
"FOXM1",0.7442,0.9074,1.3478,0.6365,1.6227,2.0116,0.8614,0.8332,0.9758,1.6124,0.8114,0.5205,0.8407,0.6524,0.5209,1.2549,2.1238,1.4801,1.4807,0.9475,1.5295,1.7203,0.6121,1.4096,1.0511,1.1206,0.8138
"PRR4",0.9459,1.5564,1.6514,2.4257,1.8172,1.6254,2.765,1.8154,3.4131,3.9919,1.5984,0.5524,1.2352,0.4427,1.8336,1.3422,5.0252,3.2544,3.6014,2.0387,2.759,2.5342,2.5858,2.4177,2.1528,2.1749,1.3286
"PRMT8",0.0675,0.1981,0.5435,0.2589,0.1468,0.1782,0.2047,0.2046,0.1871,0.0261,0.1764,0.3335,0.6373,0.1158,0.2578,0.2185,0.0536,0.1768,0.1983,0.1647,0.0884,0.156,0.1033,0.6923,0.0563,0.0928,1.4206
"PARP11",5.4868,4.3018,6.7423,2.8339,5.6466,7.707,10.4939,7.0023,10.1175,13.1015,8.5801,4.7225,5.6741,8.0948,10.5251,6.7579,10.5715,8.4102,10.6666,4.2822,7.4949,6.9293,6.7788,8.2011,11.0379,4.5653,9.3197
"ARPC3",14.9967,43.2361,82.513,31.1223,76.4479,79.7354,98.2809,45.9859,88.3006,109.1825,89.0593,10.721,23.6596,16.1586,15.2095,42.7614,99.3292,95.2528,36.586,46,71.7616,54.2984,21.3448,85.7986,91.6443,65.9055,19.4051
"GPN3",3.7577,6.1205,10.8192,4.4333,9.4779,10.3611,19.2404,6.0298,14.7076,15.0918,13.4499,3.4777,5.131,3.8472,4.3076,6.348,12.8593,13.3809,8.0759,5.6345,12.4308,6.8282,5.2496,12.5116,18.7429,7.4046,5.4199
"VPS29",15.222,20.2687,33.3216,15.9976,29.7993,29.591,51.9737,21.598,43.4472,55.5318,43.5608,8.5771,18.5806,16.432,14.4267,19.1873,37.7886,40.0382,26.0214,18.887,32.9272,24.5289,18.9804,35.5539,53.8504,22.6464,23.3029
"FGF6",0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0.1184,0,0,0,0,0,0,0,0,0,0
"MYL2",0,0.1167,0,0.033,0.0494,0.0442,0.0965,0.6071,0.0464,0.123,0.0462,0,0,0,0.0283,0.0264,0,0,0.0584,0,0.0521,0.0459,0.0443,0,0.0663,0,0.0307
"RAD51AP1",0.4626,1.3577,2.6474,0.8772,2.8204,3.6983,2.9133,1.4446,3.3429,4.7038,3.1219,0.5007,0.7031,0.6049,0.2818,1.7264,4.3934,5.5919,2.2011,1.2697,2.625,2.0875,0.7114,2.946,2.1323,1.8651,0.7147
"CUX2",0.2626,0.1101,0.093,0.2739,0.2612,0.1168,0.1457,0.0876,0.2277,0.2438,0.1569,0.1557,0.0639,0.1906,0.1387,0.2741,0.896,0.9349,0.0882,0.1395,0.0688,0.1994,0.0668,0.1254,0.263,0.066,0.1391
"SH2B3",7.4312,15.121,28.0884,10.7265,27.8254,28.2786,25.8905,9.7085,22.4553,41.3712,24.467,5.7644,8.2225,8.0353,8.5372,12.9595,38.5792,34.1105,11.53,14.9107,28.3562,25.4238,9.5956,24.6737,35.2496,20.8913,8.943
