"","C3L-07034","C3N-01011","C3L-00819","C3L-02610","C3L-00102","C3N-01998","C3L-03513","C3N-03780","C3N-02768","C3L-02899","C3N-02589","C3L-07036","C3N-03069","C3L-07035","C3L-07032","C3N-00517","C3L-00640","C3L-04072","C3N-03440","C3L-02606","C3N-00518","C3L-01637","C3L-03123","C3N-02010","C3L-02809","C3N-00436","C3L-07033"
"OR5AS1",0,0,0.0089,0,0.0089,0,0,0,0,0,0.0083,0,0,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL9",0,0,0,0,0,0.0449,0,0,0,0.0624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613,0,0,0
"SIAH2",8.4084,14.5391,15.9345,10.4736,18.7676,17.9579,24.6076,10.2977,22.9972,31.6144,17.2888,9.033,10.8924,13.8777,6.9399,10.9702,18.7969,20.3354,12.5466,12.5767,17.94,14.4155,8.862,17.8457,23.4742,14.9933,7.1438
"COPG1",47.7682,73.8103,110.3499,54.6607,105.3981,92.3321,94.7687,73.1836,102.6639,112.9186,88.6187,60.4195,69.8585,42.2307,49.8775,71.5145,114.5509,96.2717,66.2157,73.6797,125.2832,93.6465,57.7956,102.1211,103.6493,100.8333,44.9363
"ADGRB1",0.3292,0.412,0.4079,0.2668,0.3427,0.7322,0.288,0.1307,0.3218,0.4265,0.1957,0.2573,0.1304,0.1735,0.1742,0.2645,0.3502,0.4458,0.3038,0.3844,0.4312,0.4513,0.1706,0.3607,0.5751,0.3705,0.1479
"OR6S1",0,0,0,0,0,0.0629,0.2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC9A9",1.8816,12.1502,17.2006,9.5402,10.3787,38.155,43.7015,4.1071,27.5151,44.9475,16.7103,1.3086,4.1378,2.0381,2.447,7.0728,37.769,14.0885,4.3423,8.5139,33.4757,11.453,2.9028,14.1926,58.0171,19.1893,5.3513
"LSM10",3.5902,7.8304,14.1798,6.0817,13.0644,18.5049,10.8459,4.8046,11.3081,14.8732,11.6441,4.3985,5.2927,4.4417,3.4558,6.6573,19.0525,10.8009,6.0456,7.0587,15.7707,10.7625,4.0403,11.2543,17.0407,13.8184,3.3803
"RELL1",8.3934,15.9014,27.6233,10.9561,26.8506,26.6612,48.0054,10.9748,28.0238,46.5356,25.5892,5.112,6.6558,8.6433,5.7477,12.0469,30.8527,31.6895,11.1368,17.1241,34.4469,17.8567,7.9044,32.0139,66.7892,17.6078,9.3547
"RFX7",3.916,4.4684,7.9515,4.2035,8.2334,7.2009,11.5885,3.9271,10.5721,16.9146,10.7367,3.1833,5.6045,3.9284,4.6346,5.368,10.4974,10.751,6.6397,4.7105,8.7119,7.7393,6.8966,9.7385,11.6587,4.6939,7.3665
"SLC35C1",6.5551,9.8266,12.6247,6.0538,18.6111,10.8767,12.3105,9.2189,11.335,13.765,8.8144,6.0046,5.1347,6.0568,4.0602,10.6293,14.0338,12.1361,9.3984,7.7705,16.8077,10.0286,5.0992,10.1395,12.9544,11.9077,5.4122
"TIGIT",0.2774,1.4204,1.4551,0.7902,2.0347,9.346,4.8023,1.3873,4.5555,8.199,3.4054,0.2011,0.4624,0.3872,0.5915,2.2234,9.5272,2.8967,1.0599,1.3842,5.0618,2.0412,0.4737,1.3773,3.1175,3.5285,0.5429
"RNF41",5.2847,15.107,23.2231,8.8195,21.4672,23.3708,25.9123,9.697,18.4588,22.7329,18.1885,4.2177,7.4856,6.7116,5.2701,10.6338,26.5274,18.9951,10.0089,12.785,25.6742,16.4602,8.2192,20.5845,27.7136,16.5529,6.2872
"SLC2A4",0.3806,0.7035,0.9084,0.9475,0.7186,0.7838,0.8211,0.1773,0.2469,0.6109,0.737,0.3205,0.255,0.2323,0.2405,0.3933,0.4478,0.3776,0.2486,0.5374,1.0524,0.5051,0.314,0.4714,5.5297,0.4651,0.305
"FTMT",0,0,0.0733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899,0,0,0
"IBA57",2.8574,3.6791,3.4859,2.9235,4.1682,3.7588,3.3002,2.2406,3.7858,4.4984,3.5243,3.5368,3.433,3.2127,3.0329,3.0133,3.2035,4.5457,3.4548,3.3324,3.8214,5.7203,3.4216,3.6148,3.5562,3.6326,3.6025
"CLDN7",12.3627,24.656,40.2422,21.0584,46.388,25.96,15.9887,19.452,31.3989,19.9353,34.9219,10.4985,14.4537,13.5454,7.1168,24.6348,25.9282,44.2175,20.3935,23.1782,17.1968,30.3265,9.6157,39.8462,5.8847,29.9242,8.2586
"ZNF329",3.3023,8.7096,13.3266,6.357,10.3525,12.7864,15.395,6.2385,14.1716,16.4617,12.7226,2.5542,3.1945,4.1667,3.6091,6.5457,14.3937,9.7738,5.9655,7.9247,14.7178,9.7301,4.4339,14.323,16.3174,9.4591,4.4368
"ZNF101",2.361,4.2841,6.851,2.8423,7.3753,15.2364,13.0226,3.6947,9.6324,11.6252,7.7003,1.748,2.3753,2.004,1.9529,4.049,16.9177,7.5088,3.5833,4.2947,9.2649,6.9162,2.993,7.3074,9.7874,6.9112,2.998
"OR4C6",0,0,0,0,0,0.1679,0.0611,0,0,0.1558,0,0,0,0,0,0.0334,0,0,0,0,0.0659,0,0,0,0,0,0
"C5orf24",7.8238,8.4204,16.1774,7.5625,16.8752,12.6143,36.9305,11.1672,23.6798,32.3259,24.9846,3.7406,8.5541,9.0302,6.3815,7.6977,18.2892,21.3885,12.087,9.6931,16.8294,11.2238,11.6221,25.432,32.0095,7.8401,10.8418
"ADO",3.5351,8.2072,16.2588,5.4435,15.1767,15.2567,22.5386,9.9719,21.1249,25.8686,16.828,2.0134,5.5149,3.9077,4.046,8.4173,14.5011,15.8217,9.9059,9.7769,18.5772,9.0716,6.8735,18.987,27.3513,8.5162,4.9991
"COA4",10.226,18.8875,27.3458,14.3934,29.4793,24.8298,31.6232,15.515,23.7856,25.8359,23.9728,7.3222,13.2409,10.3335,9.6238,16.1319,31.717,27.4326,13.0729,16.8086,33.4464,20.5321,10.3434,26.8815,26.6034,23.4089,12.5957
"PRKAG1",8.2062,16.6004,25.6131,10.2859,21.4792,23.0599,26.7236,13.7005,23.738,27.0506,23.1983,7.2687,10.8756,8.251,7.1496,13.7751,27.3265,23.1436,12.4969,14.556,25.0351,19.6718,8.7634,22.7666,28.7249,21.7653,9.6191
"GINS3",0.3087,1.1112,1.5985,0.8142,1.782,1.4958,1.9133,0.9113,1.8408,1.9793,1.5116,0.1962,0.5045,0.3558,0.3997,0.8203,1.4849,1.6564,0.6157,0.9842,1.8339,1.4655,0.7368,1.7931,1.914,1.3217,0.5707
"OR52K2",0,0.1549,0.2616,0.1314,0.1969,0.7043,0,0.332,0.0616,0.245,0.0613,0,0,0,0,0.1753,0.2012,0.9221,0,0.0982,0.1383,0.305,0.1176,0.1605,0.1762,0.058,0.1223
"CCDC149",5.9583,6.6959,7.5344,5.3109,7.1104,6.0877,7.9934,5.3373,5.8953,8.1027,8.5462,7.4315,8.2056,4.8742,6.1231,6.2015,7.3256,8.2004,7.3525,5.2096,9.3515,9.7135,7.94,7.843,9.031,6.975,6.2949
"MRPS11",2.2016,4.4257,7.13,3.1718,6.6808,6.9769,6.266,3.2097,6.2038,6.2409,5.2202,2.1463,3.2905,2.6038,2.1767,3.9218,6.9418,6.806,4.1767,4.4197,7.6669,6.3844,3.7339,6.4946,6.5309,5.1723,3.0692
"SNRPE",11.4809,16.2137,31.8067,11.7274,27.9397,28.5428,49.4171,19.1451,35.2474,39.0107,41.2729,6.9848,14.4929,14.0163,10.5859,16.8345,35.4329,35.1281,16.7131,17.7492,33.6883,19.2777,13.9632,35.3103,46.5503,15.9604,22.7175
"RTKN2",0.207,0.3545,0.8266,0.1432,0.9938,1.1895,2.0518,2.6351,2.0076,5.6781,1.1292,0.0796,0.1775,0.1066,0.1186,1.635,2.455,1.0448,1.1157,0.5401,2.4931,0.6647,0.2178,0.944,1.1135,0.5376,0.2399
"PNMA8A",3.7487,7.1267,15.2753,4.6148,15.5342,7.591,14.3121,5.0791,15.9935,12.05,13.4016,3.0121,3.9727,5.7329,3.2387,8.8768,24.3547,10.5589,4.4341,10.1162,29.3961,13.2265,7.1622,15.8648,18.3634,8.3118,6.5101
"CHST15",5.0787,13.5427,28.6912,10.9272,25.565,24.1582,29.539,11.662,32.3489,31.3964,23.941,5.8531,7.2635,6.6836,5.2069,12.9789,18.1755,27.3865,12.5615,15.1905,20.0435,24.6028,8.082,34.0414,41.32,18.5344,8.3856
"ADIG",0,0.0533,0.0676,0,0,0.0606,0,0,0.0637,0.1687,0.0633,0,0.058,0.0374,0,0.0724,0,0.127,0,0,0.714,0.126,0,0.0829,0.091,0,0.0421
"USH1G",0,0.0155,0,0.0919,0.0393,0.0176,0.0384,0.0853,0.037,0,0.0184,0.0313,0.0505,0.0543,0.0787,0.0841,0,0.0184,0.1163,0.0147,0,0.0549,0.0881,0.0962,0.0264,0.1566,0.0122
"MGAT4C",0.071,0.129,0.4273,0.0757,0.1891,0.1579,0.4973,0.0674,0.1587,0.4207,0.2333,0.0581,0.0648,0.0474,0.0577,0.0849,0.683,0.1819,0.1043,0.1188,0.5048,0.1102,0.0791,0.222,0.5688,0.1071,0.2288
"TRIM49B",0,0,0,0,0,0,0.0632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859,0
"IDH2",37.7295,53.1085,91.9724,66.8,90.0404,56.4462,41.81,56.8269,65.0688,51.912,85.0131,44.8791,90.2943,36.7926,38.9137,90.7533,44.0569,143.4632,48.3788,73.3542,44.6211,97.4652,58.7675,121.8742,39.3625,88.6928,37.859
"OR52A1",0,0,0.0143,0,0.0072,0,0.007,0,0,0,0,0,0.0061,0,0,0,0.0146,0,0,0.0054,0.0151,0.0067,0,0,0,0,0
"OR6B2",0,0,0,0.0313,0.0469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM259",13.4132,23.4858,30.6778,19.0351,31.9951,36.2455,21.0064,17.8247,22.3309,25.9889,19.9983,19.2361,19.2534,10.2155,12.7323,18.7932,33.5315,24.7973,19.0343,25.9169,37.3465,28.647,15.0948,23.9962,27.3548,28.1332,7.5666
"GET1",1.5386,2.2644,2.4638,1.9257,2.4477,2.501,7.6262,2.3428,3.4707,4.5702,4.2718,1.0889,1.991,1.6471,1.9834,1.4507,2.5593,4.1529,2.721,1.5942,3.0908,3.3605,3.0424,5.9947,6.0827,2.3157,2.1707
"TNRC18",10.6532,13.189,13.4722,10.1994,15.9895,14.5107,8.6652,6.7777,8.274,16.1598,8.317,14.9345,9.1765,7.941,9.5659,12.7091,18.0023,10.9715,11.8901,14.1246,19.76,18.303,8.8665,11.9155,14.9695,13.873,7.6521
"FAM181B",0.1865,0.2668,0.8712,0.2143,0.6244,0.4627,0.6268,0.2836,0.335,0.2443,0.4501,0.1135,0.3206,0.1379,0.3672,0.2669,1.1667,0.5849,0.1687,0.2668,1.3906,0.2985,0.3196,0.7197,0.958,0.5207,0.3215
"TMEM30B",19.7228,18.3811,22.6902,16.2895,27.516,11.9776,20.7114,14.0554,17.3066,16.6295,25.595,12.9275,15.4603,17.9682,14.1651,14.7954,19.8272,29.9423,18.1859,19.9831,19.7835,23.5208,20.7954,28.8259,19.3274,14.2712,20.725
"DEXI",0.9679,2.4951,4.3382,1.6759,4.7711,4.5294,3.8502,1.482,4.4805,5.3398,3.0213,1.0647,1.818,1.1556,0.5085,2.3088,4.2984,5.5867,2.2263,2.7153,4.1774,5.0484,2.0247,4.4003,3.0202,2.8136,1.0338
"ZNF716",0,0,0,0,0,0.012,0.0131,0,0,0,0,0,0,0,0.0154,0,0,0,0,0,0.0142,0,0,0,0,0,0.0334
"NOP10",34.8815,91.0817,155.6783,61.4769,172.9031,140.4444,169.5765,64.971,153.5534,164.1695,138.7378,20.3115,39.4811,41.5636,33.2433,84.56,193.9153,157.3107,59.4243,90.066,177.7798,88.9741,36.7465,137.6026,170.3948,168.7055,39.9061
"FAM89A",3.142,3.6936,7.9026,3.638,7.7538,6.8309,10.4705,3.6865,6.652,8.7446,8.5264,1.7612,3.8673,2.1731,2.0167,4.0338,6.077,7.0996,4.1006,5.8645,6.4793,4.9593,4.074,9.5864,20.9377,3.9451,2.5541
"KCNIP1",0.6858,3.3551,9.4514,1.5128,4.2838,4.743,4.1408,1.1722,4.0815,9.0599,2.9733,0.5786,0.3916,0.8268,0.6064,1.6777,9.2019,2.2792,1.6962,2.0685,12.8592,4.8332,0.8943,5.0847,3.3503,3.6606,0.9563
"TDRKH",1.5374,3.3007,5.3313,2.4503,4.6202,4.6121,4.0399,2.5041,4.5712,5.0151,4.0349,1.4976,2.2009,1.1846,1.4859,3.4383,5.1572,5.0235,2.1944,2.6327,7.6048,3.7711,2.1066,3.4294,4.2645,3.7463,1.9311
"ZNF708",10.7174,10.6644,17.9429,9.7241,16.4157,15.87,28.5855,11.9567,24.5073,30.9127,23.0716,6.1907,10.9746,9.5837,11.6446,10.8814,19.9027,22.7932,16.9175,11.1755,19.8171,19.641,13.5755,25.6901,26.9951,11.3705,16.5089
"IST1",18.8955,35.3792,53.7106,25.157,51.0733,49.5986,55.1388,27.0261,54.6754,57.6045,51.3977,16.0103,20.5423,15.2934,15.8135,31.7159,63.8327,53.0473,27.8562,36.0997,56.6707,41.5507,21.352,53.0787,61.671,40.5754,19.0452
"ERCC6L2",4.8273,8.0092,13.2311,5.8509,12.5055,13.0861,19.0707,7.0447,16.0516,20.8831,15.8063,4.0337,6.1939,5.0916,5.5238,6.8261,15.5977,14.2391,8.628,8.3296,15.8639,10.4623,7.5635,17.0022,17.9176,7.9204,7.6162
"MRPL41",14.9029,46.3,65.2303,37.7372,58.1073,63.594,40.0428,24.2565,38.0735,42.8292,38.0004,17.5027,24.1989,14.4165,17.8847,42.1667,64.5461,40.7961,27.5899,48.4074,85.0391,52.2314,15.4128,45.0065,52.9785,57.0407,8.6722
"ENPP7",0.016,0.1408,0.3765,0.2521,0.5368,0.2667,0.1164,0.1149,0.4667,0.2475,0.2973,0.0948,0.1531,0.0439,0.0227,0.2655,0.4673,0.3352,0.1175,0.0743,0,0.4251,0.1247,0.2917,0.0534,0.2286,0.0618
"CREB3L2",22.4339,20.7545,31.0225,13.5144,27.0307,25.073,37.0543,16.2077,43.5417,71.5991,30.35,29.1627,22.0275,29.7225,15.7782,19.1447,37.9341,26.9075,23.8995,24.8423,41.7249,38.7664,20.157,23.1424,43.8588,19.2763,17.6572
"UNC5C",0.5376,2.6302,4.4935,1.8631,3.4272,5.8552,5.6414,1.5201,3.883,7.8795,2.7802,0.3855,0.7909,0.7853,0.8168,1.516,3.8975,2.3756,1.3866,1.8918,6.5787,3.2775,1.1859,3.2526,9.8887,2.5679,1.5922
"TSEN54",7.3128,12.5772,16.2734,10.8832,18.814,16.7731,9.0726,6.5257,13.3803,11.2148,13.8675,7.3085,9.6657,5.1554,6.3285,9.4641,17.3104,18.6934,9.5902,14.1016,19.5619,14.3452,8.5647,17.4939,9.7425,13.4871,5.9407
"RGMA",1.508,0.967,0.7337,0.7741,0.7467,1.0563,1.7782,0.7348,1.1787,1.2196,0.8661,2.0462,1.5911,1.0207,1.1537,0.6565,0.9471,0.9128,1.3272,1.1605,1.4338,1.7971,1.3143,1.6575,2.1046,1.1805,0.6352
"ASB18",0,0.1191,0.0251,0.0084,0.0378,0.0226,0.1231,0.0091,0.0947,0.0157,0.0118,0.01,0.0216,0.007,0.0144,0.0741,0.0258,0.0709,0.0298,0,0,0.0703,0.0226,0.1233,0.0339,0.1784,0
"UBA7",8.4792,24.0405,38.4671,16.3298,38.902,61.552,39.053,15.3467,42.1542,43.2715,23.9728,8.2457,11.0247,7.5462,7.3733,24.0164,41.4855,35.0866,14.8803,27.6103,45.9742,34.7786,10.4778,33.3184,45.804,36.2088,8.9699
"MRPS16",14.3727,27.2767,46.4829,20.6889,38.467,38.5078,42.0477,25.173,38.6893,42.0807,40.4212,13.4479,22.5653,16.0392,15.7328,21.1955,44.7916,41.4334,23.0179,24.815,43.8493,30.7529,18.7244,42.7697,48.0453,33.606,18.2358
"SHISAL2A",0.021,0.7391,2.3141,0.2786,2.7391,8.7265,3.5648,0.6221,2.5478,3.4096,1.3896,0.1037,0.2456,0.2593,0.1342,0.6969,4.772,1.9305,0.7093,1.3462,2.0061,2.3767,0.2337,2.073,1.471,1.6615,0.1945
"RAD51B",2.1393,4.0388,5.9175,3.7124,6.5832,8.7192,7.1021,3.2348,8.8732,11.0154,7.5173,2.0026,3.0699,2.0737,2.4148,4.2579,6.6223,6.658,5.1586,5.4839,6.501,6.5294,3.1209,7.1782,8.9265,4.6222,4.0327
"CRYGB",0,0,0,0,0,0,0,0,0,0,0.1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDOC1",1.4807,2.1343,3.0251,1.5661,2.4449,2.3376,2.2081,0.8225,2.0717,2.816,2.3636,2.0331,1.5154,0.9932,0.8275,1.4339,2.9006,2.264,1.3122,1.8286,4.7071,2.3644,1.2714,2.1473,4.1692,1.7526,1.5368
"ARL6IP4",0.0203,0.0991,0.3513,0.1512,0.1762,0.4053,0.0983,0.1638,0.1182,0.3447,0.2823,0.1401,0.1724,0.0834,0.0864,0.1883,0.3088,0.3538,0.1786,0.1506,0.3183,0.3511,0.0902,0.1539,0.5746,0.2227,0.0782
"EXT1",6.5294,15.1743,20.7981,11.9781,23.8539,20.1356,19.7254,10.4455,23.3678,29.9237,22.8281,6.8692,12.8919,7.1618,7.9171,13.4348,20.3848,28.0837,15.2911,16.37,14.3022,19.8387,10.3414,27.5226,30.4286,18.1748,10.2982
"SHMT2",11.5047,15.5884,22.629,15.8344,21.1333,23.921,19.1693,14.3468,17.8988,19.6822,20.4192,18.6437,20.1902,10.2558,11.1942,17.4912,19.2286,22.8677,15.6635,17.6303,20.3032,23.1627,12.8818,18.8463,17.6873,24.3725,10.4228
"MOB2",6.7536,10.0269,11.8538,7.0326,13.3565,12.9936,13.8039,6.4349,10.2861,10.0675,9.1275,7.7526,6.0261,3.9219,4.0871,8.3545,12.6105,10.578,6.5924,9.3787,16.7968,10.4121,4.6374,10.321,16.9394,10.6974,3.858
"HHIPL1",0.1941,1.1181,2.3512,0.6739,1.1348,2.8132,2.5467,1.0461,2.1817,4.0708,0.8684,0.2841,0.3748,0.2072,0.2912,0.9787,2.5294,1.3476,0.919,1.8311,3.7181,1.6116,0.2562,1.5294,3.6229,2.2368,0.4831
"ATP6AP2",5.8382,16.7783,34.6849,12.3082,28.6792,27.9095,48.451,14.998,38.407,51.6121,31.3138,3.5881,8.4862,6.9745,6.0045,14.735,39.9805,31.5813,13.5332,18.2879,37.5408,21.9071,9.3557,34.6045,49.9433,19.0787,9.2621
"ZAR1",0.0386,0.0755,0.239,0.032,0,0.0858,0.0936,0.0347,0.4504,0.2388,0,0,0.3284,0.0265,0.1371,0.1025,0.147,0.0449,0.1134,0,0.1516,0.0446,0,0.0586,0.1932,0,0.0298
"CYB5D1",0.0142,0.0415,0.0877,0.0352,0.0352,0,0.0172,0.1017,0.0165,0.0438,0.0658,0.014,0.0151,0.0194,0.0201,0.0094,0,0.0659,0.1248,0.0132,0.0371,0.1145,0.0315,0.0645,0.0709,0.0156,0.0328
"FAM153B",0.3591,0.1344,0.4188,0.3067,0.5253,0.1175,0.141,0.1329,0.0987,0.049,0.1227,0.2297,0.3709,0.4859,0.2177,0.0772,0.0805,0.1968,0.0621,0.2357,0.5948,0.1587,0.4471,0.3371,0.0529,0.0929,0.4325
"BACE2",13.7251,24.9122,32.0856,17.8554,47.684,25.2557,31.6133,24.6825,31.255,31.981,28.2153,6.4791,12.2214,14.7259,9.8391,20.1131,25.9142,42.4413,23.5392,23.7663,22.9987,25.4264,14.3747,42.0848,25.7095,27.1063,13.6346
"UBE2E2",3.128,6.155,11.9075,4.8446,8.7279,12.9464,20.9815,4.9335,17.6505,28.5859,12.7191,2.7308,3.7723,3.2927,3.1252,5.3097,14.7258,12.5269,6.8698,8.2565,11.4019,9.6405,3.8129,12.6513,34.7477,8.5614,4.7927
"SYNM",2.2169,6.0181,5.6555,2.0979,6.6379,6.4205,9.8637,1.2953,3.5101,5.3477,7.6004,3.3725,5.751,1.6513,2.374,2.0259,4.0223,3.1133,1.2989,2.8965,7.5999,3.2991,3.7763,2.6757,36.6151,3.0992,4.0186
"KCNA4",0.0134,0.0916,0.0828,0.0222,0.0166,1.1,0.292,0.012,0.0936,0.0827,0.2019,0.0793,0,0.0459,0.0855,0.0444,0.1189,0.0156,0,0.0124,0.2276,0.1236,0.0893,0.0813,2.6106,0.1176,0.1033
"GABRG3",0,0.0087,0.0275,0,0.0055,0,0,0.0199,0.0052,0.0069,0.0155,0,0.0047,0.0091,0.0252,0.0059,0,0.0052,0.0065,0,0.0116,0.0154,0.0049,0,0.0148,0.0098,0.0309
"NLRP10",0,0.0249,0.0474,0.0106,0.0475,0.0425,0.2784,0.0115,0,0,0,0,0,0,0.0091,0.0085,0.081,0.0445,0.0187,0,0,0,0,0.0194,0,0,0
"FIGN",3.518,4.0628,3.6431,2.6415,3.7326,3.7039,8.2146,2.4837,7.242,13.0094,4.7452,3.4433,5.3288,2.5085,3.7972,3.5634,3.4474,6.2541,5.2283,2.8601,5.1859,4.4064,4.9845,6.578,14.2113,2.9031,5.2517
"IZUMO1",3.2325,0.823,0.3065,1.04,0.5126,0.2567,1.3008,1.0964,0.6354,0.1276,0.7473,5.5909,3.1764,2.4796,2.7549,0.7011,0.4819,0.8643,2.4237,3.4809,0.6696,0.7815,1.3593,2.4314,0.8809,1.2877,2.1915
"TMIGD1",0,0.0897,0.0568,0,0,0,0,0.0824,0,0,0,0,0.0976,0,0.0326,0.0305,0.0583,0,0,0,0,0,0,0,0,0,0
"B4GALNT4",0.2498,1.154,1.7709,0.4029,2.2252,1.2652,0.9429,0.3366,0.972,1.0951,1.0317,0.2743,0.3248,0.1143,0.1479,0.7558,0.8109,2.2623,0.6729,0.5677,1.799,1.8122,0.1391,1.5395,1.4127,1.236,0.2144
"AP1S2",2.9261,6.4973,14.3868,5.4151,10.9128,14.5142,32.0184,7.9796,24.6513,33.5746,21.4332,1.7844,5.3328,3.348,4.1598,7.0092,20.5777,19.6599,6.7856,7.882,15.7222,8.8502,5.1889,22.9772,28.4196,7.2913,5.9558
"C8orf33",7.362,12.1149,20.2643,9.3073,16.9856,18.7747,21.6819,9.3109,16.6006,16.6183,16.2792,6.8669,8.0817,7.0438,5.3526,11.5419,18.2953,15.9867,10.3248,12.5833,20.8927,15.7762,9.4389,16.2431,25.3313,14.1288,8.3563
"DCAF4L1",0.1435,0.3393,0.6371,0.3572,0.5946,0.3723,0.7981,0.4619,0.5305,0.5366,0.6529,0.0236,0.14,0.1478,0.1105,0.2383,0.4709,0.6406,0.6151,0.3113,0.4855,0.4422,0.1731,0.6179,0.3992,0.263,0.1663
"SPACA6",1.2735,3.7112,6.3967,2.0337,5.5156,4.6745,4.7356,1.9684,4.3644,3.9202,3.4999,1.5023,1.3405,1.1187,1.207,2.6468,5.4975,4.9116,1.3282,4.0997,5.2724,4.3522,1.3116,4.433,6.8566,3.328,1.3012
"ZSCAN22",1.2586,2.2971,3.8387,1.6567,4.3328,2.8258,3.495,1.5656,3.2636,3.5769,2.7978,1.3157,1.1847,1.2047,0.9548,2.2346,3.7976,3.1428,1.7073,2.4079,5.3252,3.077,2.0757,3.6234,2.9288,2.7947,0.991
"KCNJ14",0.2108,0.3996,0.5061,0.2951,0.606,0.3955,0.4316,0.2486,0.3845,0.5301,0.3673,0.4167,0.2243,0.3437,0.1873,0.4901,0.4352,0.2915,0.4066,0.4655,0.2761,0.7766,0.3962,0.2403,0.7476,0.4491,0.2239
"FBXL6",1.9191,3.3961,4.2803,2.2153,5.8089,3.5813,1.9035,2.4288,3.2146,2.8406,3.0438,1.8802,2.3795,1.1342,1.1032,3.3808,4.7703,3.7313,3.2617,3.6152,5.3107,4.1853,1.7657,3.0182,2.3397,4.4594,0.8638
"C1S",25.4327,227.9009,325.3046,118.5818,195.9991,517.9745,630.2305,85.4367,322.0901,673.8063,205.5427,19.89,37.4499,29.9835,32.0669,114.6096,433.0329,168.4188,73.1247,166.8883,540.5622,160.3566,36.5967,220.625,815.9423,333.0572,54.1761
"GLTPD2",0.6016,2.8073,2.2937,1.9583,2.7616,3.0875,1.6285,0.79,1.0265,1.4323,1.613,0.5489,0.8372,0.413,0.4605,1.8136,2.7634,1.6707,0.8841,1.5921,3.9395,3.3162,0.8247,1.8288,1.9311,3.5625,0.5005
"KIAA2012",0.0354,0.2284,0.3681,0.0998,0.1935,0.354,0.2918,0.089,0.2808,0.3612,0.2876,0.0769,0.0753,0.0631,0.0151,0.1363,0.665,0.2471,0.2183,0.1644,0.491,0.278,0.1103,0.1613,0.2834,0.1245,0.1421
"LIPF",4.7015,0.0235,0.1189,0.0199,0.2386,0.0533,0.0582,0.0647,0.084,0.3341,0.2508,0.0474,0,0.0988,0.0682,0.0637,0.0914,0.1955,0.1058,0.0669,0,0.0554,0.0534,0.2917,0.04,0.0791,0.2038
"OR5P3",0.0944,0.7852,0.1755,0.0783,0.763,0,0.0573,0,0.2756,0.0731,0.5485,0.14,0.0502,0,0.0336,0.2195,0,0.055,0.1388,0.2195,0.5564,0.1091,0.1052,0.287,0,0.3115,0.2918
"ZNF804B",0.3288,0.0378,0.012,0.1685,0.1683,0,0.0117,0.2172,0.0339,0.0599,0.3033,0.4588,0.5865,0.5112,0.275,0.122,0.0737,0,1.2364,0.2428,0.0253,0.3018,0.3016,0.0147,0.0323,0.0532,0.127
"KBTBD3",2.5188,2.3798,4.005,2.1437,3.9242,2.5723,6.1784,3.0787,4.7327,5.487,6.6061,2.3398,3.842,2.271,2.9123,3.0014,5.315,5.1867,3.1773,2.2515,4.4454,3.4483,3.1184,5.5534,5.5934,2.0328,4.5431
"YBEY",5.5634,10.2138,10.8437,6.2237,7.0328,9.3139,10.8089,3.2572,10.5453,11.5112,9.0778,4.5718,6.9842,4.4201,4.8432,4.3804,10.9594,9.3179,5.0985,4.6496,8.8413,7.0801,5.0475,9.0256,11.6854,5.5337,4.805
"CLN8",5.6723,7.5951,9.1288,5.6108,10.3876,8.9979,8.3584,3.7184,10.1046,15.9148,7.3136,4.3689,4.4042,6.2709,3.9851,5.18,7.7162,9.7167,5.1494,8.7546,8.9111,13.2845,5.3503,10.4054,8.4577,7.6934,4.6319
"NXPH4",0.5237,0.2562,0.3569,0.7386,0.1953,0.1747,0.1906,0.1176,0.3363,0.2836,0.3042,0.3364,0.808,0.2696,0.3536,0.3826,0.0665,0.3964,0.1539,0.4626,0.1372,0.3934,0.3791,0.2786,0.2185,0.144,0.1416
"CACNB4",0.1394,0.2682,0.7162,0.4393,0.5355,0.9318,1.6365,0.3546,1.4684,2.1864,0.6551,0.1316,0.2017,0.1613,0.2449,0.4141,1.1263,0.7223,0.3039,0.3961,0.9764,0.5069,0.239,0.757,2.1751,0.5701,0.409
"IFNL1",0.0727,0.1422,0.09,0.2412,0,0.5657,0.3527,0,0,0.3374,0.0844,0,0.232,0,0.1033,0.1931,0.277,0.0846,0,0,0.2855,0,0.0809,0.1105,0.1213,0.2398,0.1123
"TRAPPC6B",3.3174,4.4007,6.7893,3.2885,6.3793,6.1893,8.8802,4.4538,8.6597,10.3633,7.5061,2.9472,3.4904,2.9172,2.2256,4.0026,6.3614,7.9436,3.6884,4.8404,7.2897,5.3419,3.6395,9.2153,9.9542,5.7386,3.5995
