"","C3N-00333","C3N-00383","C3L-01304","C3L-01311","C3L-01307","C3N-00858","C3L-00586","C3L-00601","C3L-00006","C3L-01282","C3N-01346","C3L-00932","C3N-00866","C3L-00361"
"ZNF561",29.042,31.6029,27.4194,29.3769,23.7423,27.2844,19.5588,28.2273,31.7051,23.6473,22.2295,32.3,22.891,31.0898
"WIPF2",21.2529,17.6057,14.2088,13.2258,12.0381,14.0011,13.5065,13.1133,17.216,13.7291,15.6373,14.9102,12.6708,15.0279
"HOPX",5.7592,5.4685,5.1277,5.2333,3.8224,3.407,7.6238,2.711,5.657,8.8519,15.2628,2.9125,1.8829,9.9449
"SPACA5B",0,0.5318,0.6158,0.1539,0.5031,0.1475,0,0.1598,0.2106,0,0.531,0,0.1765,0.3244
"OR1L3",0.4766,0.0943,0.4097,0.4096,0.8032,0.471,0.4264,0.1701,0.3363,0.2172,0.3533,0.4372,0.0939,0.8631
"NLRP5",0.1046,0.0259,0,0.0674,0.0245,0,0.0585,0,0,0.2382,0,0,0.0515,0.0237
"LRRC8C",16.4067,13.7994,10.5712,8.1089,11.2343,7.545,10.6387,9.2722,15.4446,7.3792,14.7085,9.1216,8.6446,14.758
"SPACA5",0.1456,0.8645,0.1251,0.1251,0.2726,0.1199,0.1085,0,0,0.1106,0.3237,0.2671,0,0.5273
"RSL1D1",93.2497,68.6845,80.1551,75.9075,84.5272,80.4924,57.4113,78.8081,87.4037,80.1549,62.9435,80.9848,100.3211,75.6552
"LRRC8D",9.9274,20.4541,16.8779,12.3074,10.3853,12.2807,13.9176,9.7224,9.8657,15.4621,16.769,17.7494,3.0088,20.1272
"MROH2B",1.8564,0.468,0.572,0.1204,0.082,0.0721,0.1044,0.125,3.3567,0.2261,0.1688,0.1285,0.3452,0.222
"OR1L8",0.8424,0.7295,0.6336,1.086,0.5423,0.6937,1.6878,0.3289,1.3621,1.5994,0.7806,0.2415,0.3632,0.6198
"PPID",35.7903,33.2829,31.7474,31.4153,29.7836,28.1822,21.7558,28.2372,34.7142,28.467,23.6101,31.0043,22.5412,35.0174
"OR1N2",0,0.5675,0,0.9036,0,0.0787,1.2113,0.2559,0.1124,1.0887,0.2125,0.263,0.471,0.1731
"COL24A1",6.9166,2.0282,1.4456,2.9483,2.5133,13.7301,5.4635,6.8189,0.7203,2.7151,2.3199,3.5043,1.6685,3.893
"ETFDH",31.0709,27.4638,30.1125,28.8239,25.7614,19.9808,22.1378,25.1262,32.8823,26.7124,19.533,27.718,24.6376,30.0043
"OR1N1",0,0.1123,0.5853,1.0729,0.1063,0.0935,1.2691,0.2026,0,0.6033,0.0841,0.1041,0.4474,0.1028
"RXFP1",3.0747,10.0196,26.881,21.7692,5.5122,4.2612,32.9436,14.1891,4.321,93.2316,8.408,22.1853,8.167,12.3765
"LPAR3",0,14.585,9.2482,12.381,1.8342,5.4847,1.1234,4.169,0.3189,17.5775,0.8266,7.7406,1.1287,6.3041
"PTGER4",26.7618,13.6593,12.2514,11.3452,14.5279,23.3008,10.3789,15.5649,22.3818,11.9888,12.9724,8.2472,22.0186,9.1489
"TBCA",64.7131,40.2016,46.3008,47.4118,62.4833,52.8675,39.6714,52.6233,53.7215,54.7588,38.8626,45.2036,56.0877,48.8384
"NEUROD2",0.0171,0.0507,0.0587,0.088,0.1119,0.1265,0.1018,0.1371,0.0402,0.0778,0.0506,0.047,0.0673,0.0309
"MAP6",11.4965,12.7713,13.5131,9.8522,10.2992,8.6214,6.57,7.4217,14.96,9.3095,12.1689,11.9589,5.8447,14.1006
"OTP",0,0,0.0264,0,0,0,0,0,0.0361,0,0,0,0,0
"ECEL1",2.2544,7.3663,5.9981,2.1836,0.8377,1.3555,1.0938,1.3413,0.7153,7.419,4.8807,3.939,4.4789,3.0136
"BCL2L1",14.4983,15.5547,19.8175,17.8725,12.4578,11.7927,20.2161,14.2309,14.2119,16.1397,17.2216,17.4683,13.4629,15.106
"FGG",0.0296,0.0293,0,0.0763,0,0,0.0221,0,0.0348,1.686,0,0,0.0583,0
"FGA",0.136,0,0,0,0,0,0.9733,0,0,3.8627,0,0.0748,0.0804,0
"OR2AT4",0.0121,0.036,0.0521,0.0104,0.0567,0.02,0.0181,0.0324,0,0,0.0269,0.0222,0,0
"FGB",0.8284,0.0482,0.0209,0.0419,0,0.1003,1.4894,0,0,5.5507,0,0.3799,0,0
"PLRG1",58.9036,49.2734,51.18,46.7895,49.9999,54.9631,37.9086,56.5521,61.493,47.6058,43.915,50.66,56.4812,59.9392
"ZNF584",15.2072,11.3163,13.1465,9.952,10.19,9.7506,7.5507,10.93,11.8758,10.7774,10.7992,9.9829,17.2468,11.8784
"DSCAM",0.9918,0.5767,0.0639,0.2131,0.3715,0.49,0.1941,0.3872,0.379,0.226,0.726,0.4549,0.0611,0.4827
"DNAI2",0.186,2.4672,1.5672,1.503,0.1394,1.7159,0.5548,0.1992,0.2625,1.1868,0.1379,3.0718,0.9534,0.5054
"NMUR1",0.8933,0.7858,2.6164,3.0425,0.8054,1.0353,1.0606,0.7677,1.3227,0.9045,0.7848,0.8801,0.4239,1.8575
"CLSTN1",121.7144,130.358,93.5241,87.5865,104.6739,79.7854,112.8236,105.1238,111.3706,83.8483,121.2862,92.0268,101.9392,102.115
"CXXC5",6.8798,12.9505,21.7961,17.8591,7.2568,15.6781,17.9615,12.0043,10.1371,19.2142,11.8438,19.2415,9.2987,13.9854
"ZNF274",23.2238,11.0364,17.0606,13.2552,17.7937,14.2591,12.3748,20.1673,18.2108,12.7421,12.5036,13.9245,31.9248,11.5919
"PIK3CD",11.19,8.2268,6.6246,5.8427,7.5312,8.4388,7.3386,9.7164,12.4459,9.3415,9.6793,7.0849,5.6053,8.5178
"PTCRA",0.091,0,0,0.1564,0.0852,0,0.0678,0,0,0.0691,0,0.4174,0.1794,0.1648
"SLC25A33",13.2898,5.4848,5.0482,10.0475,9.1391,4.7454,6.0432,6.4717,4.539,8.2919,6.7446,13,19.0486,4.7688
"ENC1",8.621,23.8896,16.7453,32.0261,5.6143,7.8092,9.9954,13.631,6.7028,25.9245,19.591,31.9981,6.2518,38.2758
"SPSB1",31.1932,18.4542,25.1641,35.8084,23.4069,31.4097,78.3431,41.5338,16.4171,36.1784,41.0002,30.5748,93.218,55.4393
"P2RY6",1.1934,2.2025,1.8298,1.0257,0.9664,1.7795,1.3946,1.612,1.2137,3.4292,1.3389,1.4201,1.3351,2.0737
"BPTF",81.9035,78.958,76.067,73.0635,72.4648,70.3948,59.8188,77.5751,89.8031,70.1812,55.9052,72.1104,67.2776,75.9726
"S100Z",0.3272,0.4858,0.0938,0.0937,0.4596,0.4042,0.4472,0.0487,0.1924,0.2899,0.3638,0.2001,0.3762,0.5926
"ZIK1",5.6756,4.3993,5.1003,4.9802,5.1842,5.0169,3.2103,5.5612,7.4906,3.9485,4.8396,4.6237,3.1488,7.3318
"GPR82",4.8176,4.005,5.2454,5.2171,2.496,3.9672,2.969,4.2996,5.8538,4.3416,3.5235,3.9478,3.197,3.8681
"GPR34",26.7799,12.7588,32.246,20.0677,25.9555,29.9353,29.4515,34.517,30.9046,23.2789,18.7435,17.6118,10.2517,32.2666
"PLEKHG5",8.3747,10.0979,11.3198,13.8142,9.1652,17.8928,12.0055,10.3541,9.7032,9.9543,11.2767,14.2365,5.9668,12.5094
"ATF7IP",59.032,70.3291,57.7779,43.3255,40.9746,47.88,34.3585,48.2277,73.1964,46.285,39.9789,42.6617,20.3537,57.4283
"LKAAEAR1",0,0.1215,1.4774,0.211,0.115,0.1011,0,0.3287,0,0.6527,0.364,1.5767,0.121,0.4447
"RGS19",6.2006,5.9285,7.9045,8.0388,5.9534,7.0533,7.4822,5.7214,6.179,6.4648,7.8292,8.0979,4.143,7.0899
"TCEA2",15.9137,12.4233,16.3192,16.1829,13.8168,13.2147,14.1368,14.0237,17.5873,11.291,14.7329,13.8422,10.5069,17.2925
"DEFB4A",0.6324,0.6259,0,1.3589,0,0,0.2357,0,0.3718,13.9286,0.4688,0.2901,0.3116,0
"ANO5",17.1611,13.6561,11.1654,7.6623,9.0271,8.123,7.5721,10.6961,16.0944,9.8328,10.5697,9.957,8.8277,10.9664
"HDAC3",29.612,23.2436,25.9306,30.5559,21.3631,26.6122,20.5764,26.3658,31.3139,24.9987,24.2978,29.029,25.9715,28.1334
"SPATA46",1.2686,1.9404,2.2801,2.2302,1.7278,1.4721,1.5906,1.6983,0.8815,3.1969,2.009,2.5919,1.6481,1.6188
"GPHN",19.1596,18.909,21.3183,18.5555,16.1623,15.2078,14.3231,17.7326,22.0288,18.3497,15.6619,16.7288,16.8544,18.8757
"VAT1L",0.3896,0.6426,0.8037,2.3215,0.1702,0.7914,9.1585,0.3245,0.5803,0.6904,0.6353,0.2859,0.6143,1.176
"TMEM51",10.9995,6.1734,7.6539,5.8522,3.7451,7.0581,8.8035,8.7542,6.3271,10.3784,7.7652,8.0806,10.3711,6.8558
"CAMTA1",12.4182,8.4666,9.9436,10.5433,10.6099,7.9399,8.7684,12.4466,9.9205,9.6596,7.1791,12.783,16.3429,11.2646
"LGALS4",0.9575,0.9476,0.7407,0.3703,0.9413,0.5913,0.4997,1.0254,1.4636,0.4726,0.9581,0.5709,0.8021,0.5202
"LRRC34",5.5545,3.9779,4.9134,3.3157,2.9314,5.6552,1.6714,4.2001,5.1777,2.9145,3.2789,3.8167,3.3642,4.4262
"PAH",0.2311,0.3717,0.807,4.2579,0.1623,0.9396,0.7537,0.5156,0.4076,1.0859,0.2784,3.1798,0.0712,1.2949
"SPATA5L1",11.3248,13.5985,12.4041,12.9685,11.1325,10.3591,10.1733,13.5227,12.0994,17.987,9.8131,15.4241,12.6142,14.8854
"GATM",9.7475,11.116,12.5136,6.1026,8.0816,7.2308,4.0838,9.4799,14.1413,9.7011,7.0463,8.3607,7.1794,10.9526
"SYCE1",0.0265,0.1313,0.0228,0.0684,0.0248,0.0219,0.0198,0.0237,0,0.2217,0.059,0.1947,0.0262,0.0721
"NXNL1",0.1161,0,0,0,0,0,0.2596,0.2072,0.1365,0.0882,0,0,0.1144,0
"RASGRP4",2.2928,2.6978,1.8614,1.7078,2.7193,1.6573,1.4624,2.2282,2.9058,1.2963,2.3606,1.4489,1.2554,1.984
"NHLH1",0.0417,0,0.1075,0,0,0.0343,0.0311,0,0.049,0,0.0927,0,0.0821,0.0755
"SLFNL1",12.9808,5.0408,8.9476,5.5251,16.4141,5.3142,5.5851,6.3331,6.8034,5.3703,13.1961,7.7567,10.1126,8.6424
"BCL2",48.3401,47.0883,52.7588,61.3857,101.7193,96.6689,55.5774,95.5895,41.9587,78.793,51.7917,45.8691,78.1694,51.884
"RHNO1",16.4847,17.3117,20.5792,20.1259,14.7558,20.4785,16.3457,16.9782,17.8202,23.0485,14.5797,20.778,8.9375,18.6867
"CTPS1",66.58,31.1466,42.3792,37.9677,71.6449,31.2065,35.7232,42.2034,34.4815,31.1859,51.3274,42.7734,57.1505,42.5188
"UTF1",0,0,0,0,0,0,0,0.0783,0,0,0,0,0,0
"KNDC1",5.5534,4.4559,4.874,2.5537,4.8597,3.6543,2.989,5.6858,4.8824,3.3109,6.4634,4.0825,5.9335,4.3238
"WDR87",0.0116,0,0,0.01,0.0108,0.0191,0.0259,0.0103,0,0.0176,0,0,0.0114,0.021
"METTL18",14.3441,15.1335,17.7969,12.1536,11.847,15.4895,8.2219,15.519,14.5598,14.1306,10.5826,9.1236,7.8019,13.6631
"CFAP46",0.7869,2.0308,1.1559,1.1986,0.3171,1.2797,0.3342,0.2756,0.1757,0.9305,0.347,1.1879,0.5301,0.7667
"COL8A2",12.5305,4.7888,5.3756,2.7855,2.5431,16.5399,8.4226,6.4369,9.3667,4.0214,9.8129,2.8474,5.5561,5.8697
"PWWP2B",7.6895,11.196,13.2194,9.8266,6.936,7.7909,10.6547,8.8747,8.7106,11.6793,12.9517,10.4511,8.4115,12.7596
"PCDHB1",0.1203,0.1587,0.1723,0.1264,0.1627,0.1761,0.0399,0.167,0.0314,0.0203,0.0495,0.0613,0.0263,0.1573
"ZNF540",16.449,11.8066,14.0974,8.0187,12.0119,13.3054,7.8793,18.9953,19.5993,9.3551,8.735,6.5971,17.5521,9.2627
"ANGPTL7",9.775,6.0225,6.1782,6.4655,6.999,8.6809,5.2154,5.8586,8.3953,4.9853,5.754,6.8128,7.3197,7.0292
"FBXL14",13.6805,13.5783,14.7416,12.7065,9.561,12.2721,11.5508,14.1094,15.7159,14.132,12.8003,12.5491,13.7547,12.7095
"EXOSC10",44.5226,36.3875,41.1297,38.9071,36.4248,38.2017,30.062,42.3067,49.0907,35.5545,29.3638,37.1693,40.9688,40.7355
"ZNF570",15.816,14.6396,11.7618,8.2556,11.0069,12.7432,7.6062,12.9276,14.7659,11.0265,9.5865,10.971,8.7437,13.3177
"NINJ2",3.4863,3.1928,4.2491,3.9802,2.8745,2.571,5.1981,1.7647,3.2429,2.3315,3.3171,3.3889,1.9487,4.9475
"MLLT3",30.0142,31.7271,29.0527,29.9552,25.4978,23.88,26.013,29.8467,26.1443,28.8427,20.6648,25.0763,13.4774,33.0182
"FAM90A1",6.2982,4.6126,4.9446,6.2791,4.4033,4.495,3.3493,9.106,8.2454,3.8902,8.4036,4.6604,2.5656,6.7679
"RRM2",0.4424,1.2444,0.8607,4.663,0.1417,0.326,1.5276,0.6754,0.5066,3.6782,0.7163,3.9622,0.2754,1.9399
"TRAPPC12",27.9138,25.8014,27.4914,25.8635,22.7609,22.2802,22.2788,25.3363,27.7255,22.8008,23.4325,25.8285,21.2381,25.0984
"IFNB1",0.381,0.2514,0.2184,0,0.1189,0.1046,0,0.3401,0.5974,0.2894,0.0942,0.233,0,0.23
"RPS21",898.5092,859.8097,951.648,829.865,1288.4842,919.3155,647.1386,1169.0063,1113.2741,923.9743,648.6465,871.6612,1234.4522,732.9654
"C3AR1",12.7904,5.4379,8.9476,8.5528,8.7462,9.7031,14.8604,10.0256,8.4354,11.8694,8.5985,5.8243,9.0555,14.8163
"MRM3",14.173,11.4764,15.3208,14.9033,11.2599,12.3786,10.0457,14.4217,13.5095,14.229,12.4957,14.7737,15.6612,14.3412
"PTEN",109.7721,79.9782,81.8695,77.522,85.1325,143.8227,80.1842,73.8842,134.6269,67.4695,61.866,71.7272,64.5105,103.151
"RPS7",247.5943,227.2786,263.1411,253.9925,291.7451,212.6036,212.9307,262.907,269.3176,285.384,248.2816,251.6929,221.6187,230.3135
"PRND",1.4187,14.9151,7.156,5.0384,19.2243,1.4549,2.5344,4.3958,6.5472,5.1229,4.7424,3.5605,12.8742,15.7802
"RNASEH1",18.5169,16.6936,18.2125,17.1468,14.3839,14.9531,13.6039,17.4216,18.0219,15.7095,14.1378,16.1469,13.9209,19.868
"PRNP",385.6162,332.08,312.2551,182.4071,352.6785,383.5978,238.654,317.5672,347.269,209.1401,254.1819,171.0407,410.3928,271.6574
"KLF17",3.0014,1.7021,2.6089,1.71,3.5997,0.4721,1.6342,1.535,1.6259,2.4842,2.2248,2.9078,2.0939,4.3669
"ADRA1D",3.1927,1.4043,2.0735,0.9756,1.5279,6.2516,2.6711,1.7413,1.2097,0.7005,3.997,0.6508,1.0139,0.7067
"FRMD5",1.5287,0.725,0.7665,0.6022,0.4473,0.9048,0.5224,1.0233,1.7976,0.5442,1.0624,0.8326,0.8161,0.8796
"AQP4",0.6097,0.0532,0.1079,8.5069,0.0336,0.3987,0.0267,0.08,0.253,0.4902,0.0665,0.2303,0.2474,0.0325
"CYP4F11",0.9791,0.1048,1.797,1.8877,0.1487,1.046,2.6633,1.2045,0.4979,6.1094,0.2746,3.3256,1.6952,0.7908
"TLN2",24.1613,17.0733,15.5071,15.6179,16.3993,38.342,15.6253,15.8599,23.9889,16.142,17.2227,15.1734,16.1727,13.3714
"LGALS9C",0.0672,0.0222,0,0.0578,0,0.0185,0.0334,0.06,0,0.0511,0.0166,0,0,0.0406
"TVP23B",14.5958,20.3369,24.0402,23.5267,16.5839,22.7407,14.794,16.0387,18.7987,23.8451,12.7852,22.2691,16.9437,14.9132
"FBXW10",0.0243,0.3846,0.1461,0.2296,0.1592,0.36,0.0905,0.2818,0.3427,0.2029,0.216,0.2228,0.0957,0.3079
"OR10H3",0,0,0,0,0,0.1706,0,0,0,0,0,0,0,0
"ZNF217",41.6713,37.18,51.4101,57.5965,23.5367,37.0984,38.5592,46.961,30.8156,47.6073,32.3591,51.6045,36.1752,33.8161
"SRGAP2C",8.9931,6.4559,5.9194,5.2693,7.6587,5.2522,7.3867,5.9904,7.124,4.0823,4.7708,4.8643,8.1758,5.394
"OR52A5",0,0,0,0.0227,0,0.0217,0,0,0,0,0,0,0,0
"SCG2",0.2068,1.105,0.9242,3.7673,3.6397,0.8173,3.5144,2.4358,0.8266,5.3702,1.2568,4.2864,14.3865,5.205
"ATPAF2",4.8553,6.1346,5.889,5.146,3.9352,4.2353,4.4637,4.4702,5.8672,5.2321,4.794,5.0346,3.5179,5.9954
"CYP4F22",0.204,0.323,0.0701,0.2104,0.382,0.2688,0.0304,0.1092,0.048,0.1549,0.121,0.1871,0,0.1847
"FOXB1",0.0296,0.7897,0.1016,0.1016,0,0,0.3305,0.0264,0,0.1347,0,0.0813,0,0.0268
"PPIH",9.1193,10.7018,13.2683,11.3429,8.852,8.388,7.1882,10.1547,11.0922,9.9911,7.9691,10.0151,8.1835,11.0231
"DRC3",6.4823,7.7531,7.571,6.5331,5.2531,7.301,3.7057,7.0954,8.3403,4.7353,5.7424,8.8927,4.8989,5.9489
"ZNF57",0.7795,0.9076,0.8277,0.8276,0.6011,0.793,0.4444,0.6957,0.8088,0.9054,0.5438,0.8412,0.5423,0.9965
"SHLD1",5.8526,5.7922,5.2404,5.4073,4.7036,5.5023,4.2177,7.3996,4.416,7.2226,4.4468,5.9502,2.7879,6.4922
"JMJD1C",137.7092,101.2705,96.6486,129.8254,128.1366,122.7335,114.0713,123.8553,118.6975,115.9786,82.0932,144.1596,203.4547,112.0262
"LDHAL6B",8.2397,4.0471,5.1939,7.1865,12.4012,2.7141,15.4249,6.7544,2.6555,5.8403,7.7817,12.877,8.4814,8.2903
"SYNPO",9.5611,15.0224,7.5388,5.9283,9.7414,4.7206,7.5544,6.2581,13.5305,5.9889,17.321,5.9074,11.6376,13.2742
"ZNF556",0.1945,0.8663,1.2401,1.4211,0.3491,0.2002,0.2175,0.7234,0.2287,0.5663,0.1202,0.8327,0.2396,1.0128
"MAL",4.6939,0.3629,0.8196,1.1346,0.5494,2.2951,3.3899,1.1782,3.1047,3.8989,3.9687,0.3364,1.3734,0.6641
"ZNF554",6.4283,6.0261,6.2062,5.8164,5.1541,5.8835,4.2442,7.8737,8.0466,6.2848,4.9886,6.2252,2.7311,6.7258
"RAB33B",50.2086,19.4196,18.9266,21.1582,26.4375,24.7778,15.3194,26.571,31.4737,16.1035,16.0367,20.1561,27.0472,21.4943
"THOP1",7.4098,6.9069,7.8752,7.1829,6.8036,6.2438,7.0228,6.8565,10.5705,8.19,8.9627,9.2339,7.9395,9.1545
"ANKRD20A4P",1.2051,0.0935,0.9749,0.0812,0.3319,0.0195,0.7927,1.5816,2.0005,0.6639,0.543,0.4552,0.0233,0.4921
"REG3A",0.0674,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAP43",0.6166,0.2219,0.0964,0.1445,0.1575,0.5078,0.4179,0.2001,0.9888,0.298,0.5402,0.36,0.9945,0.3553
"REG1B",0,0.0441,0,0.0383,0,0,0,0,0,0,0,0,0,0
"EPHX4",0.4263,0.7969,0.285,1.2212,0.3104,0.624,1.1299,1.2258,1.2253,0.9712,1.2639,1.1296,0.8869,0.8578
"LAMB2",225.8147,185.7056,234.0276,197.1985,193.748,215.1257,236.5988,196.6557,240.5438,172.8938,203.1278,193.2844,192.044,231.5137
"USP19",48.0041,45.168,46.1769,46.7144,44.7384,40.2973,42.589,46.7807,48.762,41.2356,45.5355,44.1195,34.6475,48.0051
"QARS1",60.9759,65.5264,87.3944,85.3955,64.9223,64.0767,72.84,65.6627,72.1005,77.4021,59.5601,90.8522,45.5117,81.9925
"ORMDL3",42.0641,43.6254,60.8154,50.4566,38.6678,44.5093,40.6965,44.1567,43.3842,47.5829,40.6968,50.5439,26.7882,55.091
"SERF1A",0.2822,0.384,0.0606,0.0303,0,0.1452,0.0526,0,0.2904,0.3483,0.2353,0.0647,0.0348,0
"KLF11",53.2831,29.7985,23.5684,29.8051,32.1236,26.8959,25.7496,38.8791,39.7424,29.1375,30.7789,33.5347,20.5295,40.6666
"LRRC15",2.2613,4.7245,0.7559,1.1568,1.9324,0.7242,3.1173,0.1121,0.8652,0.7905,2.3546,1.4816,0.3361,0.9588
"SMN1",8.568,8.3773,5.7085,6.0921,7.5391,6.8006,5.4383,10.2262,7.2022,7.0033,5.4839,7.3228,11.0214,6.5745
"EIF2AK3",24.6686,18.7443,22.9464,27.1131,21.7661,34.4187,31.072,23.4419,20.484,29.4922,17.6215,27.9549,56.8047,18.227
"MOB3A",21.0047,18.2179,12.2209,10.7829,11.7956,16.2173,17.0006,12.7803,16.1437,12.7691,20.3153,13.0416,13.049,16.0871
"KRCC1",61.0076,52.0568,63.5971,43.0393,70.1616,59.499,38.9781,54.4473,55.7963,66.7631,49.9747,51.9613,31.2797,63.1432
"NME6",15.2112,12.3658,15.7002,14.0701,8.881,14.6058,9.698,12.8548,15.1242,13.9715,12.2006,12.2292,7.5535,15.3298
"CYCS",50.9368,35.1856,44.1003,43.0502,44.7989,44.9158,33.0209,47.4631,42.4552,45.6566,28.3318,48.9186,95.9029,44.5919
"CD8B",1.1305,0.7192,2.0475,1.5094,1.342,6.2837,0.7374,1.9998,0.7121,1.1191,0.9278,1.7777,1.0942,1.0968
"SLFN12",18.2445,21.0989,17.1784,19.245,10.7277,12.9937,9.6657,14.7035,21.1806,16.2124,14.986,16.4429,6.5462,22.2206
"CALB2",3.1325,2.7281,0.5924,0.8077,3.6369,3.3018,1.1209,2.1806,1.547,1.3798,1.4861,0.5747,0.9879,2.6664
"SLC9C1",0.9623,2.1304,1.0667,1.9589,1.4464,1.0427,3.134,0.9041,1.072,2.0579,0.9949,1.4867,1.0982,1.697
"OR1A1",0.0464,0,0,0.0399,0,0.0127,0,0,0,0,0,0.0426,0,0
"CCL11",45.1713,1.9939,1.8229,0.9113,3.6735,1.4844,5.9287,3.0283,11.3465,2.2548,9.9037,0.4863,9.0917,3.1686
"FRMD3",11.879,6.4392,7.9371,5.3518,9.292,5.4661,11.4525,9.0327,14.5866,6.1265,6.1017,6.4505,7.2381,8.8822
"SNTB1",9.819,10.7887,8.3458,10.3128,4.9641,6.1225,8.4075,7.1533,10.2919,8.66,6.1507,18.6758,9.6616,7.2012
"MTBP",5.5286,6.3454,5.1373,5.3565,4.0382,4.9005,3.158,6.2019,6.5161,5.326,3.5764,5.8109,3.2414,6.1884
"TEFM",11.9393,11.8958,12.9324,11.4399,10.4237,11.2601,7.4273,11.2314,13.565,11.8852,9.8667,10.9149,7.2746,13.7334
"MRPL13",13.6721,14.5833,15.7131,15.1668,11.1184,13.8441,10.7965,12.9249,14.4691,15.2092,10.3973,14.9335,13.4993,15.9571
"MALT1",27.0791,20.0834,20.3399,18.5049,25.9563,19.5242,18.279,23.6853,25.6355,21.5756,14.9941,22.2267,33.0268,19.8848
"PRL",0.2234,0.5159,0.256,1.3441,0.6973,0.0613,1.3879,0.4652,0.3503,0.6221,0.2208,0.5465,0.367,1.1464
"ISG20",3.8968,2.8998,4.4107,5.177,5.1248,4.348,7.2737,4.4069,2.6234,6.1559,3.7485,4.3385,14.8487,2.0337
"OR4C11",0,0,0,0.0335,0,0,0,0,0,0,0,0,0,0
"MBOAT1",68.5473,49.2092,56.1046,60.2683,46.2338,31.2065,24.3202,50.4671,57.1645,57.128,31.8531,63.7823,29.8199,56.1369
"ID4",42.2358,47.6815,113.2425,133.3269,54.1285,49.8709,92.778,60.6788,56.3619,122.7007,25.3726,111.7356,27.6054,50.7287
"OR4X2",0,0,0,0.0894,0,0,0,0,0,0,0,0,0,0
"GPR22",21.6234,30.0397,19.9692,23.2735,42.0258,36.5116,15.6278,28.5244,19.8551,28.9829,16.4969,32.6633,14.3769,35.3908
"CXCR6",14.143,17.6009,21.0866,25.0139,21.7007,15.9239,23.2337,24.3625,16.5309,19.8519,14.7106,17.9192,14.1332,22.6997
"CEBPB",84.546,24.775,32.9746,49.2555,95.9829,62.8461,101.7361,113.6731,40.7479,74.4167,69.8442,47.7867,245.2874,32.901
"AZU1",0.0598,0,0.3598,0.2056,0.112,0.0492,0.0892,0.1601,0.211,0.0908,0.133,0.2743,0.1179,0.2166
"TPSAB1",25.9179,42.5061,18.9221,17.0101,71.3532,31.1552,32.1694,40.5541,19.0775,25.92,41.1684,9.695,22.5575,23.3476
"ATOH1",0,0.0477,0,0.0414,0,0,0,0.043,0,0.0366,0.0357,0,0,0
"PAIP1",65.7121,58.3467,63.6429,64.147,60.0275,62.3424,48.6134,54.2145,59.5693,70.548,52.5303,64.371,52.1565,65.1106
"CLEC7A",7.7572,7.073,6.6023,5.6396,9.8352,9.8856,7.9445,5.2207,5.6823,9.6575,5.9764,6.4858,4.562,11.93
"C5orf34",3.2261,4.2453,4.4795,4.2961,2.7883,6.2766,2.4579,4.4295,4.5855,2.7192,2.733,3.447,2.2011,4.3659
"C1QTNF4",10.1061,4.1798,7.0662,5.1207,5.2256,8.1359,7.1967,9.3559,7.8928,7.1021,8.5534,5.5345,6.6152,8.3318
"NEGR1",22.7123,11.0592,9.9383,4.965,15.5096,8.6639,6.7968,10.2178,27.6369,3.8173,5.281,3.0936,17.8514,11.5071
"ZNF131",28.9566,21.0783,22.7821,23.1014,23.7032,22.4232,18.4992,24.6143,25.2062,23.8152,19.0341,27.4571,32.8913,23.4789
"MACROD2",8.2153,11.1483,8.4323,8.6876,7.4827,5.9973,4.8176,5.7424,4.7589,7.5491,9.4906,8.6992,3.0419,19.7845
"DPAGT1",10.3135,11.2457,14.2954,13.0618,8.2017,10.155,10.5626,9.6007,10.3238,12.0475,9.5151,13.441,7.1807,11.7151
"BSG",147.4493,148.4867,184.6291,166.6473,112.4971,108.2473,196.6628,145.7468,110.8943,169.0343,159.3418,158.1585,116.9965,169.8793
"HINFP",8.3995,8.2699,8.5859,7.7299,6.6905,7.5133,6.9065,9.2039,10.1183,7.2819,6.1942,7.685,4.9966,8.9471
"OR10V1",0,0.2268,0.197,0.197,0,0,0,0.1023,0.1347,0,0,0,0,0
"CERS6",24.7944,31.0347,25.7517,23.1143,24.3954,14.833,19.9569,24.2799,21.766,20.8851,17.0301,22.5013,24.4819,24.8889
"SPTLC3",6.7861,11.1811,14.8462,11.9762,8.7295,7.307,10.4628,9.9379,9.317,11.2468,4.9377,8.7011,8.4863,10.1626
"COPRS",54.9446,37.934,47.9596,43.1043,53.5445,57.9734,42.3437,43.7947,58.793,44.0742,60.5483,53.236,49.5043,50.034
"TP53RK",26.9678,17.9805,16.2496,20.4456,18.0765,23.2821,16.3629,19.2005,17.9014,19.9212,18.5269,22.4049,26.9076,20.633
"B3GALT1",0.6485,0.1863,0.3237,1.1327,0.2155,0.4651,0.3119,0.5414,1.5498,0.7308,0.1861,0.6141,0.2886,0.1515
"OR5A1",0,0.0245,0.0106,0,0.0232,0,0,0,0,0,0,0,0,0
"CLEC12A",0.7855,1.9759,1.1535,1.2939,2.1758,1.9944,1.8788,2.7749,1.7703,0.9694,1.3101,0.8706,0.4516,4.9791
"OR5A2",0,0,0.0097,0,0,0,0.0084,0,0.0133,0,0,0,0,0
"BPGM",20.3563,19.3984,19.0852,14.7537,14.8551,18.7332,13.6111,17.98,21.2716,24.1291,14.156,17.0942,11.6235,21.5118
