"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"IFNA21",0.6016,2.4323,2.0268,1.9852,3.3787,2.8994,1.7694,1.4554,0.9046
"DMRT1",0,0,0,0.0284,0.038,0,0.0265,0.0982,0.067
"DNAJB5",9.8994,9.0277,7.0756,9.0974,7.7818,7.8905,17.0332,5.168,10.8871
"SPAG8",4.8658,6.6203,5.115,6.0085,7.8533,6.7148,5.23,5.5923,4.3441
"DCTN3",34.4938,33.2189,32.6258,25.3733,36.2766,25.8495,21.8235,34.4395,39.3676
"CD72",0.5064,1.1461,0.7648,0.7543,1.0087,0.5996,1.8195,0.5793,0.519
"TMEM8B",23.9067,25.4612,30.4467,27.075,31.7578,30.3319,31.6479,27.5885,24.7176
"GRHPR",25.5329,38.0158,24.9884,24.3215,27.2404,21.6607,22.6264,23.2757,27.6678
"ALDH1B1",17.1943,10.1056,15.3147,9.4565,14.3902,10.9836,6.4772,15.4022,20.9957
"HINT2",0.1715,0.4282,0.5777,0.5401,0.258,0.4261,0.4323,0.4889,0.2958
"ARHGEF39",0.4809,1.0751,0.9721,0.7502,0.4051,0.7388,0.7409,0.6315,0.2808
"IGFBPL1",3.6566,4.3961,4.6319,4.7159,4.1581,3.8507,3.3147,3.8807,5.1954
"DENND4C",23.082,39.0185,34.5912,33.6216,37.3309,31.8604,39.3559,37.7229,21.0362
"RPS6",264.7521,300.0257,364.0994,256.4682,285.263,266.3993,258.933,372.1382,270.2925
"CNPY3",50.3502,69.1203,51.917,51.4953,57.865,49.8715,58.5734,61.3678,46.9466
"FOXP4",6.1194,11.7041,15.2258,10.262,8.0519,10.7255,21.4211,9.1376,5.3945
"PPIL1",55.7618,36.8805,50.3956,35.4718,43.936,40.8724,27.1488,51.9183,61.3496
"KLC4",15.1679,21.37,12.7217,14.6442,17.2918,16.6707,16.1479,16.2403,14.0452
"KIF13A",20.1877,45.0651,30.9715,29.1357,31.4626,28.6971,27.9566,26.426,18.3659
"ZSCAN9",7.0293,9.6356,8.811,7.1978,9.9918,8.3277,8.4651,8.7799,5.9925
"PIM1",8.4882,14.9892,13.5853,10.1245,12.9274,11.6052,29.4146,18.655,10.0889
"GMPR",6.6679,7.5065,8.3952,6.9353,11.5513,10.258,10.0045,29.2795,4.7511
"CMTR1",53.3109,59.8694,51.7786,45.0973,62.9301,45.4054,40.0815,52.6194,51.847
"TFAP2A",0.025,0.0356,0.0316,0.0787,0.0601,0.0564,0.0945,0.0259,0.0795
"SLC22A7",0.5529,2.0348,0.6863,1.1786,1.7162,1.6831,2.7146,1.0862,0.2317
"YIPF3",41.7704,35.8205,36.9443,31.0332,37.236,33.5082,34.109,38.7597,43.0305
"TMEM14B",15.6619,17.161,18.5528,14.2584,17.5532,14.9142,12.364,17.0452,14.9497
"TMEM63B",53.714,44.7966,48.0368,41.5127,50.4872,43.4023,60.0736,37.2873,55.9195
"FRS3",23.6022,26.0413,30.9239,25.5089,24.5574,26.9446,32.9056,24.7686,22.6506
"TJAP1",6.138,25.8415,10.8017,10.5135,12.7763,9.2078,14.9366,10.8644,5.8606
"CAPN11",0.1736,0.2891,0.2437,0.3646,0.3134,0.4446,0.0973,0.24,0.1843
"TINAG",1.1413,1.425,1.3619,2.3539,1.2019,3.266,0.9591,1.4791,0.6057
"HCRTR2",1.5944,2.0887,1.9374,2.6817,2.2649,1.6062,1.7572,5.0948,2.1918
"KIAA0319",34.2927,45.8345,52.3091,45.2135,51.1883,42.387,32.3187,53.6086,45.253
"IRF4",0.0611,0.0747,0.1618,0.0943,0.1471,0.142,0.7482,0.1629,0.0834
"SLC22A23",15.7412,33.1226,19.2895,19.1718,20.3081,21.2669,30.9893,18.2464,15.2924
"TUBB2A",325.0478,274.1572,426.5028,252.6761,307.0748,267.0885,119.3493,368.675,591.078
"LRRC1",3.0376,16.8599,6.0875,5.7126,6.2274,5.206,6.7953,7.9278,3.758
"GCM1",0.0185,0.1581,0.0622,0.0332,0.0444,0,0.0621,0.0383,0.0196
"FOXF2",4.1261,2.6899,3.246,3.2044,5.3943,2.8769,4.8226,2.215,3.7572
"BPHL",5.4178,8.4407,6.2539,6.3945,7.5892,6.9666,5.6723,7.1641,5.4302
"RIPK1",5.8224,11.486,10.5227,10.5253,10.5017,10.605,13.6726,10.2617,4.6687
"TUBB2B",152.4886,87.2336,255.8445,229.1515,137.0063,309.017,243.483,282.6289,131.626
"UQCC2",20.9985,22.4651,14.7173,21.8539,20.2648,22.834,25.2636,23.5646,23.6953
"HMGA1",49.5708,39.35,52.3253,44.3542,38.02,42.2236,58.2114,40.2101,48.7539
"TCF19",1.7291,2.7369,3.4268,1.5954,2.8329,1.2343,2.149,3.2239,1.8817
"FLOT1",125.7685,132.616,109.3669,88.7748,136.8333,108.5108,91.9677,136.5626,134.799
"IER3",1.7112,1.7364,1.6655,1.7796,2.1052,1.5807,5.8158,1.8924,2.7851
"MDC1",10.48,15.7618,16.3834,12.2806,12.6937,14.0595,15.542,13.0862,8.6791
"PGBD1",13.9269,27.6002,20.1968,20.2388,32.2066,22.5067,17.7846,26.3376,14.6247
"ATAT1",15.9287,19.026,21.0891,14.8621,12.8924,16.3257,18.3249,16.3565,15.4087
"TPMT",45.1445,35.9367,38.2959,32.561,34.0347,34.1224,17.9929,30.223,34.2109
"CLPS",0.2563,0.9751,0.4317,1.5375,1.028,0.1544,0.8614,1.9483,0.1813
"RNF144B",8.1605,11.248,10.2516,8.5414,13.7162,12.6135,22.5583,12.4956,9.7791
"NRM",1.2803,2.2209,1.9029,1.7622,2.1752,2.4953,4.5144,3.1232,1.3589
"MTCH1",414.5942,383.3291,357.282,286.6625,405.1638,286.236,205.9821,445.65,539.0184
"VARS2",0.4842,1.1101,0.3744,1.3002,2.1591,1.0186,1.8411,1.1193,0.2359
"TAF8",8.5209,14.8496,10.032,11.7044,12.3645,11.3727,13.7913,11.2251,7.7358
"FAM8A1",66.6191,59.9857,69.1495,49.4462,66.3581,47.9018,31.1634,67.5725,68.4309
"C6orf52",1.2195,2.1545,1.8587,3.3448,2.2365,2.6239,1.7568,1.0838,2.5273
"FGFBP1",0,0,0,0,0,0,0,0,0.0403
"FGFBP2",0.173,0.6171,1.6028,0.3114,0.2082,0,0.1454,0.6278,0.4132
"CPEB2",30.7875,46.9938,50.9481,33.4751,38.4276,30.8051,28.5294,41.1787,33.1604
"FHDC1",2.6202,3.6499,2.1807,2.0072,3.191,2.3114,2.7392,1.7464,1.4817
"TLR2",1.5467,5.7335,5.2411,2.688,9.4145,7.1975,4.6912,10.2671,1.4908
"MGARP",1.6357,2.0348,1.1304,1.5098,1.8171,1.6676,2.1147,1.7394,1.6472
"TTC29",0.5701,1.2312,0.4153,1.0261,1.3721,1.0303,1.3724,2.7475,0.7359
