"","C3N-02261","C3N-00958","C3N-01653","C3N-02818","C3N-00243","C3L-01279","C3N-03021","C3N-01650","C3L-02212","C3N-02440","C3N-01803","C3N-01652","C3L-01865","C3N-01903","C3L-01962","C3L-01955"
"CDRT15",0.9345,0.8357,1.2169,0.9517,0.7707,0.6072,0.2867,2.0583,2.1823,1.351,2.1392,1.134,0.7788,1.151,1.0274,1.5593
"ZNF844",16.4969,11.2036,21.6224,11.1157,12.6337,13.9713,12.0015,10.2463,14.3299,11.5502,12.6318,11.5683,13.7106,14.0032,12.5396,14.9476
"CKMT1A",0.8614,1.1136,1.924,1.6315,1.8107,1.9076,0.9651,2.2807,1.4692,1.2507,1.1627,1.0122,0.9559,1.0763,1.0887,0.7186
"TINCR",1.5263,0.2756,0.9923,0.4464,1.2878,1.0679,0.9413,0.5973,1.0747,1.1881,0.2352,0.6165,0.6678,1.4396,0.763,1.0382
"CENPVL1",0.0642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EBLN1",0.0861,0.1347,0.1427,0.0682,0,0,0,0,0,0.0871,0,0.0665,0,0.0825,0,0
"HBD",0.2708,0.3532,2.7678,0.286,0.1954,1.2317,0.4524,1.531,0.3935,0.4568,0,0.488,0.1317,0.6054,0.6175,0.3013
"SUPT20HL2",0.097,0.0759,0,0,0.07,0.1764,0.0463,0.1495,0.1057,0.1308,0.0647,0.0499,0.0236,0.1238,0.0553,0.0809
"ZNF735",0,0,0,0,0,0,0,0,0,0,0,0,0.0483,0,0,0.0553
"RFPL4A",0.4019,0.7076,0.333,0.5571,0.5076,0.5484,0.3597,0.5422,0.219,0.3051,1.2076,0.388,0.6595,0.2888,1.031,0.2515
"C1GALT1C1L",4.7163,3.9448,8.8938,4.1219,2.1711,5.695,4.1911,5.7667,5.228,3.6207,4.4788,2.6999,5.2181,3.3494,2.9896,2.0351
"SUPT20HL1",0.1133,0,0,0.0299,0,0.0687,0.027,0.233,0.247,0,0.1513,0,0.0826,0.0362,0,0
"CERS1",0.2222,0.0217,0.046,0.088,0.0401,0.1516,0.0994,0.2355,0.0908,0.1406,0.0835,0.1072,0.0203,0.2661,0.0475,0.0463
"HLA-DPB1",30.0932,40.3925,29.9849,65.6529,24.2886,55.106,33.3042,131.0926,43.6226,22.0892,97.7511,28.2967,30.5132,15.1289,31.1797,19.3063
"C1QTNF5",0.0677,0.0529,0.1682,0.0536,0,0,0,0,0,0.0685,0.0678,0.0522,0,0,0,0.0564
"CPTP",31.7093,16.1162,30.4903,18.0545,18.4762,28.9159,16.5217,14.5905,21.2026,20.9257,16.9173,19.0789,17.2755,21.5628,19.2814,20.2728
"ETDB",0,0,0.1231,0,0,0,0,0.2291,0,0.1504,0.2976,0,0.1083,0,0,0
"CENPVL3",0.0535,0,0.0443,0,0,0.0973,0,0.0412,0,0,0.1071,0.0413,0,0.0512,0,0
"PRR29",1.0543,1.1,2.3296,1.4912,0.9601,1.507,0.7727,1.7028,0.9574,0.8637,2.162,0.8917,0.8238,0.8657,1.0517,0.6911
"C4B",16.6571,28.5852,33.6222,19.6347,30.8613,23.669,12.0382,29.312,23.9966,115.4568,37.6021,38.2283,17.7813,15.1785,27.5301,18.3587
"ADM5",0.908,1.5158,1.1035,1.3905,0.6116,1.4867,0.8234,1.7266,1.0555,0.9189,1.6975,0.8414,0.309,1.1018,0.4658,1.212
"ATXN1L",62.2891,62.7076,33.9382,51.7147,48.6003,37.1109,47.9414,50.6027,56.9311,69.9016,42.6747,66.1935,52.3485,66.5062,67.0363,59.8164
"SMIM13",10.5981,9.1585,9.6809,9.338,7.3407,8.2267,10.8925,15.4203,8.8124,8.5498,10.9759,10.0405,8.7371,8.664,8.5522,7.5986
"HNRNPA1P48",1.946,2.2417,2.3291,1.7982,1.6773,1.6717,3.0569,3.6668,2.2384,2.1881,3.8435,1.5861,2.168,1.6052,1.7101,1.1274
"GPX5",0,0.0397,0,0,0,0.0462,0,0,0,0,0,0,0,0,0.0434,0.0423
"NPIPA3",0,0,0,0,0.051,0,0,0,0.1539,0,0,0,0.0515,0,0,0.0589
"NDUFAF8",23.4567,16.2268,21.3026,19.0708,20.0658,17.9444,13.7335,13.4713,21.1598,18.1567,15.7125,22.0111,20.6734,24.4785,19.1263,19.1797
"APOC4-APOC2",0.0569,0.089,0.0471,0,0,0,0.0407,0,0,0.0575,0.0569,0,0,0.0545,0.0486,0
"PRRT4",0.0565,0.0884,0.0702,0.0447,0.0408,0.1284,0,0.0653,0.0615,0,0.0566,0.0436,0.0412,0,0.0241,0.0471
"PPP4R3C",0,0,0,0,0,0,0,0.0511,0,0,0,0,0,0,0,0
"TMEM233",2.1606,3.8396,1.8813,3.3356,1.612,1.4989,1.8612,2.0042,3.5516,2.8906,4.1808,3.0257,2.5102,2.7011,3.9139,2.9023
"PNMA6F",0,0.1235,0,0.05,0.0456,0,0.0226,0,0,0,0,0.0731,0.023,0.0302,0.027,0.0527
"PVALEF",0.2881,0.0451,0.0955,0,0.0832,0.3669,0,0.0444,0.1884,0.0583,0,0.3559,0.1681,0.0552,0.1971,0.0481
"PLEKHM1",9.4168,8.5934,7.7934,9.6622,6.3158,7.9198,7.3861,8.3703,8.8991,9.0165,9.1937,7.1583,5.9059,8.6861,10.0164,10.534
"USP17L3",0,0,0,0,0,0,0,0,0.1423,0.0661,0,0,0,0,0,0
"FAM236D",0.2246,0,0.1861,0.1779,0,0.4086,0,0,0,0,0.4499,0.1735,0,0,0,0.3748
"MKRN2OS",4.1955,3.7633,4.6352,4.4848,2.363,4.1884,3.8092,4.8906,4.1631,3.3828,4.0992,3.345,2.96,3.8556,3.2373,3.6708
"Z82206.1",0.0787,0.1231,0.5215,0.81,0,0.2862,0.1126,2.0012,0.3429,0.1592,0.6303,0.1822,0.2868,0.0754,0.6726,0.2625
"C2CD4D",3.1964,4.1221,4.4633,3.8913,2.093,2.1536,1.2712,3.7872,3.8057,4.7322,2.964,2.7424,1.3381,3.2887,3.644,3.111
"ZNF469",0.6871,0.3013,0.4192,0.7176,0.2071,0.5082,0.2973,0.9604,0.5101,0.3286,0.5671,0.3032,0.2368,0.6293,0.5617,0.4094
"MCRIP1",31.5689,29.4845,31.755,34.5545,32.7716,28.9681,23.7376,37.6748,30.1124,30.0542,49.2535,33.3429,36.6174,25.4812,31.6461,29.0372
"SLC26A6",29.5539,42.6614,21.0808,33.7741,28.7224,24.3135,25.8875,8.0006,32.2409,45.6458,16.539,51.7027,32.1306,37.9555,33.5995,47.6491
"OR6V1",0.2023,0.6333,0.4191,0.3205,0.365,0.5521,0.7242,0.8578,0.2205,0.2048,0.4053,0.2344,0.2213,0.1938,0.4325,0.0844
"DEFB131B",19.5308,10.3154,15.7786,13.1489,6.3423,15.5441,14.3307,16.1844,14.8981,9.3882,13.2026,9.0487,12.1059,7.9513,7.0972,7.332
"FAM229A",4.2405,3.604,3.5742,4.6326,2.849,4.8878,3.7945,4.875,3.386,4.8831,3.4047,3.7543,2.5591,4.2371,3.0631,4.2085
"ERCC6",18.3128,14.747,15.2032,15.6017,12.7661,15.6638,15.832,22.5274,15.1907,16.6491,16.9288,14.6075,14.8864,14.4218,15.3318,15.0276
"FRG2B",3.5709,0,0.0822,0,0.0358,5.0975,0.142,0,0.3783,0.1004,0.3477,0.2681,1.302,0.095,0,0.0414
"NOL7",49.9331,42.0655,66.345,37.9811,50.0019,46.058,44.8462,54.4636,47.0299,49.9073,48.8164,44.3321,48.7636,45.0084,40.5501,40.5184
"CTAGE4",0.2411,0.6289,0.7659,0.7639,1.914,0.9869,0.0288,2.757,1.5765,1.83,1.4891,0.6516,1.4945,1.5398,0.8934,2.9837
"NTF4",0,0.1108,0.2347,0.0561,0,0.1288,0,0.1091,0.1543,0,0.0709,0,0.0516,0,0,0.0591
"ELFN1",6.8703,2.3281,8.5391,2.0352,3.4549,6.5197,2.9819,3.3152,4.6866,4.4617,8.1264,3.7386,3.5701,3.7052,2.6134,3.0011
"PIGBOS1",12.4971,13.4247,18.3408,14.6796,14.2153,12.234,12.661,18.0422,11.0793,13.2897,11.6669,11.6127,12.0479,11.3626,13.6737,12.8995
"FTCDNL1",10.0369,10.989,5.7099,9.6701,12.4048,7.8008,8.7131,9.3824,9.6722,10.4602,7.4636,10.2951,11.6887,12.0899,9.9267,10.3102
"TEX22",2.5296,1.4986,2.8446,2.3184,1.5386,2.5966,1.8625,3.1199,1.8114,1.9382,2.5695,1.172,1.5284,1.4539,1.6376,1.6279
"OR52I2",0.1247,0.1708,0.31,0.1111,0.0787,0.1134,0.3013,0.1562,0.0679,0.2366,0.2498,0.1685,0.2046,0.2837,0.1466,0.1821
"CROCC2",0.3827,0.1225,0.2739,0.1929,0.0628,0.4273,0.0747,0.1878,0.5308,0.088,0.2439,0.094,0.0888,0.05,0.3273,0.1596
"DCAF8L1",0.0301,0.0235,0,0,0,0.0274,0,0.0232,0,0.0304,0.0301,0.0232,0.0877,0,0.0514,0
"USP17L7",2.8426,1.9341,4.5571,2.5941,2.1405,4.4404,5.2199,8.0026,6.1279,4.44,6.1886,1.4792,1.5321,7.3402,1.7964,1.495
"TMEM185B",19.3357,14.7858,17.0256,20.5726,11.4058,16.6128,13.0746,26.4388,14.9846,15.1063,24.1125,16.2052,12.7937,13.8116,16.7578,13.2443
"KIF4B",0.1659,0.0742,0.1179,0.0188,0.154,0.2588,0.1188,0.1096,0.0258,0.096,0.0712,0.0732,0.121,0.2044,0.1013,0.1187
"AC013470.2",2.8387,2.0034,4.8657,2.3806,1.7673,6.0246,3.5263,4.3764,3.0024,2.3376,1.6444,1.8481,1.7656,2.4526,2.7603,1.602
"HSBP1L1",27.6486,34.2704,30.7861,29.9136,24.3038,21.3366,24.6946,29.1919,31.2429,32.1169,30.0945,28.7291,32.6467,35.3952,36.531,40.3753
"TAS2R46",13.0841,10.1503,9.6368,12.7546,7.8278,10.1717,12.4083,14.5684,13.283,8.1481,8.9594,4.9221,11.0906,7.8201,7.745,12.2213
"SRRM5",2.0808,1.5075,1.5964,1.7396,0.9732,1.7875,1.4068,1.1584,1.3017,1.1308,2.4311,1.696,1.0116,1.2919,1.5485,2.0573
"PGAM4",1.6,1.252,1.8867,1.9497,1.2434,1.5113,1.8062,2.3244,2.213,1.9306,2.8349,1.5681,1.0321,1.9453,1.9469,1.8482
"C13orf42",0.2588,0.1575,0.4289,0.0683,0.0415,0.6538,0.0823,0,0.0627,0.1164,0.288,0.111,0.1887,0.0551,0.0738,0.0959
"ERVMER34-1",5.5078,3.7633,13.5627,3.3588,2.9296,3.5515,5.183,2.5514,5.072,7.4316,3.7808,4.3927,4.3558,7.2329,6.8539,6.3206
"RBMY1J",0,0,0.0455,0,0,0,0.0393,0,0,0,0,0,0,0,0,0
"LTA",0.1197,0,0.1488,0.5217,0.0864,0.1089,0.1286,2.3538,0.1957,0.1212,0.4197,0.0925,0.0873,0,0.2048,0.2997
"C14orf132",10.6276,4.2463,28.435,7.0058,3.3787,12.3161,8.1981,15.0721,12.6392,6.4071,9.9638,4.8992,5.6645,5.5043,3.753,7.7452
"WDR46",34.924,31.4601,39.5769,34.9543,29.2525,38.9065,30.9354,47.4229,34.979,28.4369,46.4374,33.0861,33.6532,28.3238,31.3979,30.1449
"ANHX",0,0,0,0.0768,0,0,0,0,0,0.0491,0,0,0.1061,0.0464,0,0.0809
"ZNF717",14.5912,11.8427,11.8311,15.1327,10.7159,13.9892,14.0275,14.3609,13.5145,12.0824,14.4764,11.2565,11.4335,13.365,11.8713,12.944
"SPANXB1",0.2232,0.1746,0.5548,0.1768,0,0,0.3195,0,0,0.9034,0,0,0,0.4276,0,0.1862
"KLLN",2.947,2.0642,3.6629,2.3153,3.1557,2.9399,2.7391,3.1144,2.2273,2.6937,2.5467,2.7895,2.1317,2.1173,2.2353,2.3792
"PARG",39.8852,36.6982,35.1322,37.6616,41.6882,31.8704,40.4836,42.2026,40.4805,40.855,29.9525,43.5435,43.3098,39.45,38.7494,36.7416
"AKR1B15",0.031,0,0.18,0.6145,0.0672,0.0847,0.0222,0.4306,0.1691,0.0628,0,0,0.0453,0.0595,0.1061,0.233
"SCAMP4",16.8974,11.3413,14.0646,14.1836,10.6142,14.3949,8.8858,9.8752,12.926,12.2826,14.255,8.6749,9.208,12.389,13.9897,16.6885
"LTB",4.133,3.817,3.9298,16.2064,2.2491,11.0312,5.6747,45.6991,8.343,2.3997,17.2345,2.7205,3.0633,1.6226,3.0124,1.9783
"RD3L",0.5722,0.6156,0.3556,0.2833,0,0.3253,0.1536,0.2205,1.2471,1.2305,0.7163,0.1657,0.5216,0.6167,0.8562,0.6564
"TEX46",0.3152,0.2466,0.6528,0.624,0.2274,0.1433,0.4512,0.6073,0,0.6379,0.3156,0.1217,0.4596,0.4528,0.4042,0.2629
"MRLN",5.075,11.4717,0.4672,2.7076,8.8504,1.8272,6.6604,0.3803,3.5716,4.993,0.9177,6.2591,8.9949,7.1571,2.8928,7.9971
"POLR2J2",2.1153,2.9162,1.4606,2.0344,1.2357,1.8782,1.6224,2.9117,2.4697,3.7715,2.421,1.75,1.6527,3.4736,1.8086,1.9747
"BOD1L2",0,0,0,0,0.0226,0.0285,0,0,0.0341,0,0,0,0,0,0,0
"IFNA14",1.0359,0,0.7725,0,0,0.848,0.1483,0,0.2258,0,0.8299,0,0,0,0,0
"OR2M3",0,0.0082,0,0.0415,0.0151,0.0095,0.015,0,0.0114,0,0.0105,0,0,0,0.009,0.0087
"MT-ATP8",329.0873,360.4966,127.8063,242.7437,212.0992,167.2583,629.4064,54.9954,255.6814,300.4854,117.7387,206.0059,247.3049,458.6617,396.9372,515.5435
"ORM2",0.274,0.1072,0.4542,0.4341,0.0989,0.1246,0.4904,1.0562,0.2986,0.2773,0.1372,0.1058,0.0999,0.2625,0.3515,0.1143
"FAM174C",23.2714,19.5289,19.8171,18.9821,19.9442,17.5113,14.9184,16.9059,16.059,20.0851,15.7522,22.6822,19.5028,20.7236,20.3643,19.0413
"OST4",165.5359,149.7339,198.6347,149.2337,192.0042,140.6341,136.7394,260.1494,178.1202,161.3775,202.7521,167.5747,196.0468,141.6341,165.5473,151.2554
"C2orf92",3.2635,4.9445,3.6718,3.2564,1.8009,3.1139,3.0233,4.3901,4.0096,3.6911,4.4218,3.7306,2.5198,3.019,3.406,2.8427
"VN1R4",0,0,0,0,0,0,0,0,0,0,0,0.0766,0,0,0,0
"NUTM2E",0,0.7408,0,0.0454,0.1656,1.3048,0.2054,0,0.0313,0.4065,0.2299,1.3514,0.2301,0.4122,0.3925,0.718
"FNDC10",5.2882,1.3793,3.7732,2.8311,2.1554,4.81,1.6474,1.8117,2.9347,2.9235,1.7653,1.1343,1.4283,3.0957,1.4235,3.8398
"CLDN25",0.1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1151
"PROB1",8.227,3.5883,4.8692,4.0521,3.7085,6.3302,5.312,3.4995,5.6001,9.0251,6.7389,7.0823,3.4282,10.3753,3.4088,3.2875
"ARL17B",1.1606,0.7976,0.3429,0.1998,0.3496,0.5967,0.6213,1.4159,5.9718,1.0622,1.5868,3.3744,1.0156,4.4568,0.6472,1.1282
"DHFR",17.8248,14.7774,12.5034,19.2348,23.1226,17.6069,18.9374,11.0685,14.7478,15.9623,14.0257,15.3478,19.1879,20.3497,16.6116,17.4665
"SAPCD1",1.3765,1.7951,0.8871,0.9085,0.9933,1.1129,0.9854,0.8842,1.75,1.0834,0.8424,1.24,0.6692,1.3186,0.3923,1.4035
"RPL41",370.8578,316.9153,428.0002,366.5927,477.7356,401.7807,434.1336,590.489,352.5771,346.6094,485.8928,369.2835,405.1425,329.7168,312.1979,331.6227
"PGA4",0,0,0,0,0,0,0,0.0156,0,0,0,0,0,0,0.0345,0
"RFPL4AL1",0,0,0.0735,0.1406,0.064,0,0.0635,0.0684,0.2901,0.0898,0.0889,0.2056,0.3883,0,0,0.1481
"ORM1",0,0,0.1913,0.1828,0.3332,0,0.0826,0.089,0,0.2336,0,0.4457,0,0,0.0987,0
"SPINK8",0.4685,0,0.3882,0.7421,0,0,0.3354,0,0,0,0.7037,0,0.3416,0,0,0.1954
"PATL2",1.5913,1.6374,1.5895,4.161,1.6202,2.6371,1.8257,6.8054,3.1831,1.3898,3.8203,1.1278,0.922,0.9397,2.2366,0.8911
"NKX1-2",0,0.0507,0,0.0257,0,0,0,0.025,0,0,0,0.05,0.0472,0.0621,0.0277,0
"PRAMEF25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464,0
"PRAC2",0,0,0.1346,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2AL1RP",0.7796,0.122,0.3876,0.494,0,0.5673,0.3349,0.2404,0,0.6312,1.0931,0.602,0.3411,0,2.2664,0.2602
"ZNF492",0.5144,0.4025,0.893,0.4656,0.4772,0.802,0.4559,0.793,0.7207,0.1487,0.9812,0.2459,0.4465,0.5397,0.6702,0.4904
"ZNF688",11.8692,9.5294,11.2886,8.9649,10.4768,9.7006,8.6936,10.1571,9.8224,10.4097,8.9235,9.5901,9.2072,10.4799,10.4426,11.3655
"PET100",3.22,2.5195,3.9822,2.5123,2.7051,2.8414,3.6812,3.6306,3.1947,3.1613,2.7915,3.4884,3.4696,3.5449,2.9176,3.6485
"PGA3",0,0,0.0171,0.0327,0,0,0,0.0159,0,0,0,0.0637,0,0.0198,0.1059,0
"GK3P",4.287,4.9663,5.6743,5.9972,3.0936,4.6589,3.2681,5.8367,5.0356,3.8312,7.0811,3.3103,3.3292,2.9333,3.9035,3.3442
"FAM90A26",0.0835,0,0,0.0331,0.0602,0,0,0.0965,0,0.0422,0,0,0,0.1199,0.1071,0
"IQCF3",0.0568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEX53",1.0967,0.7151,0.1515,0.2895,0.2638,0.3325,0.5234,1.9725,0.5975,0,1.2813,0.2823,0.6664,1.0505,0.7814,1.0674
"ANKRD66",0.0282,0.022,0.0467,0.0669,0.0203,0,0,0.0217,0,0,0,0,0.0205,0,0.0723,0.0235
"ACBD6",18.7735,17.636,16.2898,19.4969,15.9252,17.8943,15.3914,20.1704,19.2508,18.2135,18.5097,16.6666,16.7793,17.0021,16.549,18.5375
"OR5H6",0,0,0.072,0.0688,0,0,0.0622,0,0,0,0.087,0,0,0,0,0
"SPDYE21",12.2969,10.8796,6.593,9.676,6.9599,8.9918,12.0823,4.4607,8.0576,7.4827,6.0367,9.8678,5.8609,13.2423,10.3081,9.7222
"ANKRD18B",0.0888,0.1667,0.6768,0.0563,0.0513,0.0808,0.1017,0.1779,0.0387,0.1797,0.1778,0.1234,0.1295,0.068,0.0607,0.0444
"USP17L1",0.1306,0.2043,0.7573,0.1034,0.1413,0.1781,0.1869,0.3523,0.2846,0.3303,0.5884,0,0,0.1876,0.2791,0.3813
"CCDC192",0.6018,1.6695,1.1333,1.3866,1.6187,1.9407,0.7441,2.5303,1.3116,0.3875,1.6985,2.239,1.7155,0.6813,0.8888,0.8672
"TEX48",0.6235,0.2927,0,0.3951,0.09,0.3403,0.1785,0.4806,0,0.1262,0,0.4815,0,0.2389,0.2132,0.5202
"AC011005.1",0.4117,0.2577,0.3412,0.3261,0.2377,0.2996,0.1768,0.2539,0.3589,0.1667,0.0825,0.3179,0.3002,0.3155,0.4929,0.0687
"PRB4",5.1832,8.3758,0.7469,3.6591,0.8944,2.8697,4.6783,3.3006,4.4203,2.2805,0.9027,2.2622,7.5594,2.2667,1.0598,4.888
"SETSIP",0.9153,0.3581,0.7584,0.8156,0.6605,0.3122,0.4914,1.6757,0.9974,0.2316,0.9166,0.7068,0.7509,0.6576,0.587,0.6681
"ANKRD63",1.0009,0.8544,0.1508,0.8648,1.4445,0.331,0.3257,0.2806,0.9915,1.197,0.3645,0.8431,0.3981,2.3534,0.778,1.2904
"YY2",1.7371,1.3001,1.3142,1.2862,1.0083,1.1679,1.7572,2.3579,1.4815,1.3376,1.8531,1.1081,1.074,1.4108,0.8395,1.0081
"STMND1",0.0336,0,0.1113,0.0532,0.0485,0.0917,0.0481,0.0259,0.0732,0,0,0.0259,0.049,0.0965,0.0862,0.0841
"HSBP1",28.6752,26.4671,44.2166,26.9403,28.1339,30.0715,25.443,39.8371,27.9649,26.9784,34.4627,27.2823,32.6541,23.5112,24.3666,21.7506
"OR5H1",0.0173,0,0,0,0.0125,0,0,0,0.0189,0,0,0.0134,0,0,0,0
"PLSCR5",0,0,0.0403,0,0,0,0,0,0,0,0,0,0,0,0,0
"CFAP97D1",0.1659,0.1082,0.1833,0.0219,0.0599,0.1761,0.1584,0.1279,0.0904,0.1679,0.1385,0.1281,0.0403,0.0265,0.0709,0.0461
"SBK3",0.0684,0.2677,0.0567,0,0,0.1245,0.098,0.1582,0.0746,0.2077,0.0685,0.1057,0.1996,0.0655,0.4095,0
"HLA-DPA1",81.5656,38.7065,79.0393,157.1377,66.5505,103.6978,87.8943,337.0654,73.4844,48.8329,166.8485,52.211,45.6651,35.8429,58.1071,42.9736
"USP17L10",0,0.0511,0,0,0.0471,0,0.0467,0.1007,0,0,0,0,0,0,0,0
"RPS18",520.3484,574.4318,757.9128,764.8088,728.5708,737.7939,715.8383,802.6111,631.8538,615.1219,822.8918,609.005,670.7346,523.7122,530.6362,477.8071
"TSPAN19",0.1018,0.0996,0.2953,0.1008,0.2021,0.1158,0.1276,0.1374,0.2219,0.0515,0.153,0.059,0.1485,0.0976,0.0218,0.085
"RPS27AP5",1.9924,0.9354,1.981,1.2624,0.7189,0.5437,0.5705,2.3037,2.1711,1.0081,1.9953,1.3846,1.7435,1.336,1.1925,0.3324
"AKAIN1",0,0.1305,0.1106,0.2114,0.1204,0.0303,0.0478,0.0257,0.1454,0.1688,0.0334,0.1031,0.0973,0.032,0.1997,0.0835
"CYP21A2",0.6636,1.5866,1.3747,1.2848,0.4523,1.3749,0.475,0.4831,0.6428,3.4697,2.3998,1.3095,0.6452,0.2119,1.2609,0.3076
"OR5K2",0.2943,0.4606,0.1626,0.3886,0.1416,0.2677,0.0702,0.3025,0.1069,0.2979,0.4913,0.4546,0.0715,0.282,0.1678,0.0819
"PRH1",10.3208,9.8615,5.7286,12.0521,6.5645,8.876,12.3373,14.1775,10.742,8.737,6.8574,7.9183,11.5304,8.9992,5.9679,9.8794
"PSG1",0.0839,0.1312,0.0174,0.4317,0.0454,0.0572,0.105,0.0808,0.0228,0.2121,0.3359,0.0162,0.0764,0.1205,0.1075,0.0175
"TAPBP",71.9742,61.6605,64.4101,81.8686,45.0956,66.0457,50.286,100.0372,64.8028,67.9645,77.2705,49.9539,39.1201,55.7043,71.7585,62.8237
"PPP1R2B",0.0931,0.1093,0.27,0.0369,0.0672,0.0423,0.1666,0.2153,0.1522,0.4711,0.0932,0.1438,0.2716,0.1338,0.0398,0.0388
"ZBED9",2.2939,1.8846,5.7443,2.4729,1.8944,3.5238,2.0891,3.1926,2.2775,2.1795,3.9563,2.0271,2.7972,2.1363,1.7107,1.4565
"TMEM253",0.6744,0.1885,0.5588,0.3434,0.2433,0.2629,0.3448,0.3713,0.105,0.195,0.4824,0.3348,0.1756,0.323,0.1236,0.2009
"TMA7",26.2059,29.0786,36.3163,20.3222,23.1938,11.3782,29.7407,27.9431,23.0843,31.8788,18.8372,30.6705,31.6278,23.9661,17.7224,18.2818
"TEX50",0.1281,0.5011,0.7429,0.2029,0.4621,0.8155,0.1834,0.3949,0.1396,0.5185,0.7696,0,0.0934,0.3681,0.6571,0.3206
"MCTS1",13.9326,11.4989,13.562,12.3897,9.336,11.0029,12.4014,17.5994,12.3398,12.0753,13.2272,11.5045,12.1327,11.1435,9.8805,11.5425
"DYTN",0.0373,0.0583,0,0,0,0.0678,0.0534,0.0287,0,0.0377,0.0373,0.0288,0,0,0.0319,0
"MTRNR2L4",0.7385,1.3483,1.2238,1.0236,0.222,1.1755,1.5859,2.4193,2.0118,1.3701,1.9721,0.6177,0.718,2.2401,1.4207,1.4375
"ASCL5",0.1027,0,0.8932,0.6912,0.3704,0.3268,0.2205,0.9497,0.2238,0.2078,0.8739,0.2775,0.0749,0.0983,0.3072,0.1285
"TMEM114",0,0,0,0,0,0,0.0525,0.0565,0,0,0,0,0,0.0702,0,0
"KRTAP25-1",0,0,0,0,0.2028,0,0,0,0,0.2844,0,0,0.205,0,0,0
"OR52I1",1.7913,0.6596,0.9604,0.6398,0.3295,0.7348,0.9052,1.1101,0.6124,0.5332,1.3367,0.7052,0.5379,0.9084,0.8409,0.8497
"OR5K1",0.0293,0.1375,0.0485,0,0.0845,0.1065,0.0419,0.1129,0,0,0.0293,0,0.0641,0.028,0.1252,0
"SMIM26",25.4795,27.1998,30.4518,20.856,32.9457,21.7108,32.0717,31.542,25.2881,31.248,28.4572,31.0112,36.4696,22.7741,25.754,22.1252
"AJM1",3.8168,2.7824,4.7733,3.3798,2.9425,4.9811,2.0874,3.7645,3.0484,3.1907,2.3979,3.5696,2.3165,2.5661,2.4932,3.6192
"KANTR",11.1891,7.4598,8.4292,10.6961,7.409,9.5769,10.6871,12.7599,11.485,9.4676,9.9673,8.3972,9.3129,9.2329,8.7428,11.9476
"HLA-DQB2",2.7207,1.8878,1.6589,16.4666,2.8524,8.1243,2.1313,23.7421,7.6077,0.2078,5.0894,5.8665,2.3583,0.6393,4.6964,1.456
"GOLGA8N",1.2586,1.7128,2.2672,0.7477,1.392,1.5057,1.3907,2.4888,1.7592,0.7338,2.8772,1.1198,1.7159,0.8649,1.4388,2.4082
"TNF",3.2229,1.0184,2.157,2.9945,1.5654,3.7771,2.8839,7.692,0.9456,0.5018,1.3035,1.5793,0.3616,1.1874,2.3317,0.879
"PET117",0.4518,1.2726,0.3744,0.3578,0.1956,0.2466,1.0996,1.9503,0.6892,1.2801,0.4524,0.8373,0.3953,0.6059,0.309,0.8292
"LYRM9",8.7377,5.8083,12.2696,5.6957,7.0029,7.3146,5.7014,5.0516,6.6145,7.4142,4.9754,6.3291,6.992,7.3701,5.1404,6.2088
"NPIPA9",0.0343,0,0.0284,0.1903,0.0991,0,0.1474,0.1323,0.1496,0.1389,0,0.053,0.025,0.0329,0.0293,0.0286
"PHGR1",0.1105,0.0865,0.1832,0.3502,0,0,0.3165,0.2556,0.3613,0,0.4427,0,0.0806,0.5294,0.378,0
"ERVH48-1",6.598,5.6876,2.5019,5.2259,1.6947,4.5095,5.7105,2.9309,3.0872,5.3943,3.1731,5.1523,2.9357,7.7129,4.8127,5.5665
"RAB6D",0.1372,0.161,0.1705,0.2717,0.0743,0.156,0.221,0.2909,0.1869,0.1388,0.1374,0.1059,0.1001,0.1314,0.264,0.2862
"RNF224",16.2399,10.2694,4.8882,11.1302,10.906,7.8379,8.4462,1.9416,7.2232,8.2507,2.7217,12.9495,8.7006,13.7152,16.606,9.5665
"NPIPB7",0.2451,0.1439,0.1523,0.1456,0.0885,0.1115,0.0439,0.3779,0.1336,0.3721,0.1228,0.2839,0.2235,0.1761,0,0
"GPX1",242.0258,204.9217,335.6695,263.1363,265.4998,265.1592,187.2258,290.6561,223.5026,226.3282,324.1699,247.8464,238.5471,192.1767,248.7323,201.1006
"BTBD18",5.0892,3.5736,2.6761,3.7208,1.9069,3.175,4.6473,4.7277,3.6972,3.2683,3.071,4.4335,2.5217,4.7188,4.184,5.6608
"TMEM238",9.2778,5.0348,14.1353,4.1483,5.9392,6.2611,4.1778,10.9584,5.3812,8.1774,8.2424,6.8175,7.2021,5.7338,6.0136,6.2419
"TWIST2",0.4452,0.2612,2.1671,2.1596,0.1205,0.5061,0.239,1.8873,0.6064,0.3379,0.4458,0.2578,0,0.4797,0.2379,0.5571
"PIRT",0.6318,0.7768,0.1745,1.3344,0.2605,0.5199,0.5384,0.3479,0.3606,0.6698,0.7532,0.7434,0.5265,1.0663,0.5145,1.3804
