"","C3N-03446","C3N-03450","C3N-03452","C3N-03026","C3N-01197","C3N-02684","C3N-01191","C3N-01365"
"RSPO4",17,29,44,24,20,30,19,13
"CDS2",7402,12455,17763,14665,8146,14662,10088,15108
"PROKR2",16,86,74,138,120,187,31,274
"HM13",3388,1449,2029,1723,940,1179,1300,1341
"SNPH",3160,3959,6425,5446,5703,6605,775,7829
"MYLK2",27,37,71,52,45,47,44,33
"SIRPB1",23,25,69,65,67,18,94,31
"SEC23B",3686,2112,2430,2732,1406,2184,3397,2639
"FERMT1",801,508,309,353,216,371,864,414
"HAO1",2,0,2,1,0,0,0,0
"PDYN",897,189,3600,325,77,351,31,294
"CCM2L",67,75,158,114,74,81,30,85
"PLCB4",679,731,1598,1380,806,856,465,1244
"MYL9",939,240,1551,456,191,183,268,213
"HCK",383,668,842,1551,362,242,751,181
"TM9SF4",3750,2535,3358,2758,1600,2461,1923,2598
"TLDC2",31,32,29,56,26,25,42,22
"CRNKL1",1609,1734,2113,2316,1343,1709,2471,2053
"POFUT1",2286,1168,1536,1639,649,998,1383,983
"SAMHD1",1905,3191,3107,6534,1833,2347,5614,2349
"PAK5",504,619,929,1167,927,1110,150,1548
"KIF3B",4958,4775,8236,7245,4393,6501,3197,7350
"MROH8",224,174,375,296,293,251,230,363
"NOP56",1790,2100,2478,2700,1942,2718,2339,3086
"MANBAL",663,610,837,607,366,565,423,572
"IDH3B",1317,1685,2410,2328,1840,2327,1816,2516
"MAPRE1",3775,2688,3828,3354,1686,2303,3155,2353
"JAG1",2704,1789,2597,2358,822,880,1290,1382
"CDK5RAP1",2290,1116,1470,1485,1219,1299,1324,1661
"SNTA1",1859,2342,5600,3865,3262,3089,1828,3790
"OXT",13,1,1,1,2,1,0,1
"TTI1",1814,1058,1431,1437,904,1275,1352,1352
"E2F1",592,284,204,215,207,266,434,253
"RPRD1B",1894,1208,1544,1312,844,1236,1417,1203
"PXMP4",1342,700,913,888,405,664,797,807
"CHMP4B",1577,1851,2568,2530,1522,2215,1312,2399
"BPI",5,9,8,0,9,0,3,2
"CST9L",1,1,0,0,0,1,0,1
"SLC32A1",268,328,903,439,342,498,35,531
"CST3",14914,15379,30536,39891,18294,15119,7358,15567
"ASIP",30,11,32,12,9,12,8,15
"CST4",1,0,0,0,0,0,0,0
"ACTR5",524,460,451,515,355,400,436,525
"WFDC2",4529,53,94,78,76,79,52,84
"AHCY",1813,1284,1722,1775,950,1414,1488,1571
"PPP1R16B",6389,12760,12969,12092,11071,13525,15399,14979
"SPINT3",5,0,0,0,0,0,0,0
"FAM83D",236,75,62,60,85,64,38,75
"EPPIN",9,8,4,5,14,6,3,5
"DHX35",1189,813,1064,987,788,784,1030,928
"DNTTIP1",1381,384,554,500,341,439,475,450
"MAP1LC3A",790,1215,1722,1648,987,1779,1208,1919
"SYNDIG1",1001,2100,2696,2699,1079,1739,3438,1952
"PIGU",741,867,823,741,442,630,1327,714
"TNNC2",32,26,30,57,112,40,14,38
"ACOT8",1098,642,1000,931,675,831,651,919
"APMAP",2581,3271,3824,4663,2401,3467,3565,4168
"CELF4",1557,1851,3635,3310,2436,3402,318,4239
"ZNF516",1100,1144,1908,1725,705,920,607,1015
"CDH20",970,2774,3072,2460,1518,2107,3980,2241
"ADNP2",1192,1629,1857,1667,1110,1545,1814,1659
"RBFA",433,616,871,1078,653,839,669,1026
"USP14",1778,2761,3593,2580,1448,2787,2194,3160
"VAPA",3994,5351,6683,6375,4147,5603,6416,6920
"METTL4",276,422,529,497,264,354,526,395
"LPIN2",3056,3575,5620,5578,2400,3576,2753,3910
"SMCHD1",3475,3740,5034,4854,4233,4039,5939,4791
"MYOM1",540,762,1476,1010,499,719,995,867
"MYL12A",1222,547,976,1212,494,374,847,312
"CEP76",249,222,358,462,315,352,280,367
"ST8SIA5",2647,3078,5823,2361,2732,4519,397,4192
"CEP192",3143,4895,5095,4633,4883,5009,9230,6089
"RNMT",1823,2512,3480,3065,2321,3722,2403,3999
"SMAD7",596,893,1087,1044,476,693,1430,661
"LIPG",218,78,314,441,78,198,302,114
"LAMA1",489,1195,1700,1184,319,461,637,805
"RNF125",198,642,425,500,126,286,1025,213
"ANKRD12",4339,6078,8018,7457,5565,6960,7427,8577
"NOL4",592,944,1577,1453,1204,1532,310,2246
"POLI",931,1470,1659,1657,1194,1619,1995,1865
"MIB1",6869,4301,6646,6961,5349,6122,5599,7284
"RBBP8",2996,510,1017,1000,881,730,410,919
"RIOK3",6687,1820,1940,2088,1341,1558,2859,1951
"CSTF2",505,539,667,709,524,554,527,685
"H2BW2",1,2,6,4,1,1,0,3
"MXRA5",667,241,431,1027,55,66,79,67
"VSIG1",402,22,29,34,18,41,4,44
"PSMD10",647,958,1114,1328,833,999,1364,1264
"ATG4A",301,308,435,462,241,256,406,327
"STS",1626,1637,2408,1469,1743,1797,471,2070
"TBL1X",1045,1313,2247,1297,777,1117,1433,916
"GPR143",77,92,268,153,137,86,76,118
"PGRMC1",2418,3135,4470,4590,1878,4077,5011,5336
"POLA1",1253,1358,1665,1528,1159,1318,2059,1514
"MID1",951,669,1096,992,701,682,597,886
"NKAP",472,568,716,642,505,601,813,655
"RHOXF1",3,15,16,11,25,8,3,11
"NXT2",160,176,219,276,124,167,231,193
"GUCY2F",9,6,16,10,3,5,1,9
"ATP1B4",3,2,9,20,2,4,0,26
"MCTS2P",0,0,0,0,0,0,0,0
"ALG13",1431,1645,1946,1745,1282,1399,2159,1801
"PRPS2",619,461,679,667,521,600,537,687
"TLR8",331,101,77,340,88,26,92,23
"MOSPD1",320,155,247,319,164,179,189,214
"AMMECR1",686,345,529,439,377,388,324,487
"CHRDL1",518,887,2024,2368,1449,1296,470,2619
"WDR13",1885,2711,4096,3802,2707,3597,2523,3895
"SUV39H1",226,295,349,297,185,300,266,287
"PAGE4",0,0,0,1,0,0,0,1
"SRPX",180,345,246,219,50,76,266,89
"GLRA2",59,238,464,754,181,518,100,931
"XIAP",3065,2773,3811,3574,2222,3052,3186,3387
"STAG2",4775,4769,5796,6124,3240,4086,8851,4432
"ATP11C",475,621,742,918,336,401,964,498
"MCF2",346,366,607,706,816,787,170,1031
"F9",0,0,3,2,0,0,0,1
"ABCD1",441,369,504,461,106,177,297,115
"CCDC22",370,472,621,631,323,355,517,503
"CACNA1F",101,50,105,109,58,104,22,129
"SYP",5730,8888,15849,14532,9988,18646,2174,21193
"PLP2",267,74,166,136,62,55,69,46
"BMX",536,9,62,29,21,14,25,45
"LUZP4",0,1,2,0,0,0,0,1
"PLS3",3206,3099,4962,3949,2061,2902,5345,3455
"NAA10",379,412,559,608,429,470,510,459
"RENBP",370,477,769,885,247,246,695,222
"ELF4",937,248,227,270,54,85,217,65
"SMARCA1",3463,2370,3709,3795,2126,3011,1559,3694
"MTMR8",181,111,191,149,75,102,126,128
"ASB9",37,18,55,40,9,7,11,16
"ZC3H12B",523,777,998,760,565,959,617,1054
"RBBP7",2093,2433,3295,3688,1654,2693,2405,3253
"PPP1R2C",0,0,0,0,0,0,0,0
"KCND1",80,199,257,143,59,178,117,143
"OPN1LW",0,0,0,0,0,0,0,0
"SLC25A14",349,380,719,715,492,794,342,911
"FMR1",2178,2097,3118,2391,1780,2513,2060,2575
"PIM2",501,307,548,480,386,487,117,645
"SCML2",81,105,145,137,123,90,157,140
"SLC35A2",499,370,487,482,271,418,415,487
"PQBP1",546,705,940,1071,676,835,812,973
"RS1",37,5,17,18,8,26,4,14
"PCSK1N",754,999,1590,1778,1110,1285,209,1047
"EMD",458,454,583,472,309,403,495,460
"TAZ",861,863,955,871,678,715,1174,746
"RAB40AL",8,18,33,25,24,8,8,23
"PGK1",10771,7686,12287,12383,9276,10686,5959,12830
"GATA1",12,23,15,4,17,10,34,24
"MAGT1",2196,1917,1961,2359,916,1232,4332,1232
"SMS",1155,1105,1868,2228,1491,1913,781,2213
"PHEX",77,144,222,186,140,131,119,162
"UBL4A",944,1048,1575,1775,1371,1652,901,1841
"CD99L2",4877,7045,11866,7456,5702,7268,5759,8501
"EEA1",2451,2923,4214,3380,1753,2781,3060,3020
"GPR50",2,0,1,0,0,0,0,1
"RP2",353,228,324,508,115,169,458,186
"JADE3",431,604,444,415,162,310,930,329
"CDK16",2202,2297,3676,2973,2465,2960,1567,3232
"USP11",5293,8706,11608,9513,5761,10599,3869,11100
"PCYT1B",682,1905,2196,1883,1043,1858,2114,2148
"BRS3",1,3,1,15,2,7,6,14
"HTATSF1",2567,2669,3917,4171,2353,3510,3755,3532
"VGLL1",2,4,3,1,2,2,2,1
"CD40LG",28,39,38,34,18,22,18,16
