"","NX035","NX026","NX030","NX020","NX023","NX034","NX031","NX022","NX032","NX025","NX036","NX019","NX029","NX021","NX033","NX027","NX037","NX038","NX028","NX024"
"ABCA3",-1.00850055006583,-0.876768548260781,-1.03362697511506,1.08222490443665,0.807120641657187,-0.950562560734513,0.893676385368782,-0.909224826374046,-0.999050860099426,-0.807120641657188,0.957991406002728,1.03236167179964,1.07255630395522,1.23933797509953,0.874645882589344,-1.01626012200735,-1.04862840888548,1.01766048203358,-0.882724947913456,0.876220606552869
"ABCA5",0.292536061599245,-1.60435743528007,0.166132616831327,-1.55886714394639,0.147219365310194,-1.67891592354436,0.536015410650506,0.160422004963322,-1.727906541861,0.17606188010507,0.426281539830605,-0.132337793421192,-1.94049657629923,-1.87134349206274,0.196086931615098,0.323979871753042,0.132337793421192,-1.5602348192929,-1.61037554079723,-1.87310816284531
"ABCA8",0.0202217955827808,0.316448905928911,-2.10200272922223,0.206273384345279,0.138153034480266,0.0132973531502607,-1.93670702721721,-1.96739671796091,-0.0233218306731166,-0.0571549133851587,-1.93069497650324,-2.08591809817635,0.192995970706065,0.0155518928350282,-0.221416023912095,0.0974064550792409,-2.11823462861844,0.236421099875301,0.268677754295009,-0.0132973531502607
"ABCA9",0.0201005278340625,0.1015593726013,-2.3037986142979,-0.0886773394750691,-0.315967117525994,0.308595344810135,0.171636798704883,0.00928162541910793,0.274462481622901,-2.03673006934388,-0.10499666644809,-2.286271237613,0.334569717210064,0.0351300976950751,-2.58655255925432,-0.00928162541910793,0.41358709852745,-0.0578399012099695,0.321835171480688,-0.0737165434330674
"ABCB1",0.106397757956117,1.03536292922136,-0.106397757956118,-0.256648055653496,0.750417077782616,-0.816658146880799,-0.780397127129381,1.19735247184575,0.480009955056893,0.273546243365424,0.239782179950829,1.91990092663043,-1.8339519356916,-0.322655990073343,0.203382396130933,-1.5077059995184,0.242137506355378,-0.338166377605103,-2.16073940520476,-0.298154767845052
"ABCB10",-0.910534731725088,2.00265972748684,-0.600404600378413,-0.810366374935172,1.43574332652652,0.171155886723755,0.299033216971989,0.704914423293597,0.704540088445945,-0.335647697383488,0.247799484422234,-1.54650450417241,1.62663519621102,-0.614823621782304,1.32930948634258,-0.650188655877134,-0.655499338180549,0.0915349796084301,-0.0915349796084301,-1.34149228993081
"ABCB6",0.852212486200661,2.46827211198386,-1.04533091043816,-0.431727597820645,0.0378350667289309,-0.725608639092239,1.59793864755438,1.23567694202079,-0.0378350667289307,0.253817795119067,-0.541720160647806,-1.34672982421199,-0.165317584943419,-0.830736532156822,-0.248736025346431,0.460672232838653,1.12488813274279,0.629648376464622,1.59796054077889,-0.166182317185596
"ABCB7",-0.250953547138656,1.89815682397145,0.112148276591016,-0.483906493931701,0.243067875440237,-2.82158608647203,-0.746614956366713,-0.371957060614866,-1.41479729972817,0.0854458481191431,-1.03711720084118,0.881862825795401,0.679429602040055,-0.404458472681559,1.01085390646644,0.47113782073789,0.0677687059713496,-0.729094674544136,0.599016904343311,-0.0677687059713496
"ABCB8",-1.97495307989141,0.0384316182752255,-0.0399211732490792,-0.551507291517167,0.371682711107882,0.0453794726967478,0.210892637666256,0.172363760349044,0.966587531548222,0.0315410109172389,2.82318551776984,-0.318792299949604,-0.0315410109172389,-0.0348392410829675,0.652620220506908,-1.38026970097139,-0.368085207456774,1.12148231666848,-1.25155759698004,-0.527136178538727
"ABCC1",-0.136615572896745,1.13411903580873,0.977686637066247,-0.322549943802547,-0.29275659609833,-1.23546489929143,1.32048060384981,0.253519416833446,-1.2332859093992,0.743060268660598,-0.811330141881623,-2.12417819385088,0.527022068433088,0.726334555422093,-1.3459316545182,0.613782086854442,-0.866660015486825,-0.286641960351278,1.46787292616916,0.136615572896745
"ABCC10",0.0277182941785463,0.370662042309637,-0.000166857674021793,0.118947662647222,0.202211749125752,-0.00829950873123862,-0.110584778534974,-4.32611736503643,0.000166857674021793,0.0514746460273595,-0.0414934540561218,0.598848279364475,0.0642880726350527,-0.0946919644064924,-0.00246048065144635,-0.0138439936815937,0.103096028535573,0.307253837675621,-0.110590894953556,-0.0159785263056369
"ABCC3",-0.492730725648952,-0.487080273771157,0.0941901131692826,-0.0813401509613433,-1.0830335891748,0.648171027017793,-0.181348330740787,-1.26445559406804,1.62902382259275,0.15572311221359,1.00649851109388,-1.55242426149638,-0.526647876680425,0.167131862142245,1.62419379523998,-1.40834440541742,0.93322704068306,1.10080620269177,-1.49209597754289,0.0813401509613434
"ABCC4",0.00561716538915874,3.09935026616844,0.258252009703681,-0.49164927023315,-0.119252773394498,-1.11771694797783,1.3412721611492,0.433194520454631,-0.400576558242632,0.419728371826944,-0.7423906006111,-1.45403469020989,-0.187813320324729,0.194470620226231,-1.0228461699837,0.699660453766622,-0.543898136067606,-0.00561716538915876,0.95900964213122,0.396410988180384
"ABCC5",1.66254941162778,1.98573007979213,1.86497200443502,0.000737354629399466,1.61541243515688,-0.128706410831385,-0.0527720666624661,-0.0836718401404453,-0.181531022030225,0.0275635285997811,-0.0467188611495378,-0.203004544778625,-0.410758296553775,2.03351463090792,1.86686664162856,1.83374604602216,-0.23554229429831,-0.000737354629399699,-0.0548020757883858,1.99785245434788
"ABCD1",-0.661624783260585,2.19702381213816,-1.03182238855097,-0.788508824981445,1.34039534115455,-0.970616168137356,-0.789170564345554,-0.706781224990356,1.19875598218466,1.11741811964929,0.426324556471157,1.06696562754758,-0.111321067656045,-0.733737226397854,1.8344682435161,0.111321067656045,0.824198037994309,-0.277224551617137,-0.427844237397553,0.130306683650881
"ABCD2",-0.124413674068357,2.16469928555353,-0.152194633321567,0.0710159366007494,2.13898679902402,-0.0603547035752555,0.0167099844713704,-0.0146497570244487,-0.113965651661763,1.96956698653926,0.0228532968241869,2.2903482013294,-0.346605158808073,-0.270930212534433,-0.417339252433425,-0.13299302236432,2.00180504166715,0.0695192751067617,0.0146497570244487,-0.272861310303044
"ABCD3",-0.165090159586537,-0.0268126674300208,-0.336698684978681,-1.28084229130444,-0.0371453924251397,0.457999744793165,0.910426602047731,-1.28729862998963,1.43236447603878,0.255400323681884,1.89599022334604,-1.63681059199027,0.82471887927747,-0.307183824284315,2.14531247455017,0.026812667430021,0.778235122789322,0.816075488679741,-0.122244237305762,-0.466319336406032
"ABCD4",0.0851873920610603,-0.972592643169006,1.18983166336543,-0.77603566923227,0.53840252808238,0.263976016880801,-0.429919357038627,-1.76566928948764,1.36351138114409,0.489583954669031,1.34752862203261,-1.08138588757978,-0.754565942741944,0.402693222779121,2.07941364648216,-0.996235749130244,-1.04424637614039,0.205175590815402,-0.313456239551086,-0.0851873920610603
"ABCE1",-0.0765401425902153,-0.0478262515044519,1.35277938703387,0.2783915709315,2.14621817065294,-0.724132022060558,-0.051236592413258,0.830604285474784,0.00999855746322285,0.651349803269398,-0.636435566290607,-2.32869955556099,-0.321522822323497,0.499416613193319,1.4332955243909,0.397062156808859,-0.106735061078978,-0.00999855746322312,1.4332955243909,-1.03068396353043
"ABCF1",-2.10972238426966,0.0604813471990389,0.742419834473267,-0.837782172737189,1.09802565201987,-0.999298339621638,0.591873427245951,-0.182396894217122,-0.382541452510364,1.34973228213152,0.489305433050439,-0.0604813471990387,0.163701743451794,-0.525216965575035,-0.660098998243405,0.635644694789764,-1.59906529039279,-1.56514051485368,1.55462234547639,0.330108916746154
"ABCF2",1.09627560769268,0.220601810936761,-0.638142805584242,-1.27254024621768,1.84864757008073,0.0768037693000121,-0.551100866655018,-0.240348952052562,0.203233348015154,-0.0768037693000121,0.349065434911604,-2.29478882215804,0.249172989998244,-0.257916696941523,1.88596249837997,0.270036652482408,-0.996497103890981,-1.14722906002028,0.669867345013306,-0.111427813311793
"ABCF3",0.391988832550823,-0.859684708690599,0.0288855192241416,-0.834086485365022,0.0308647695441173,0.0925514907318402,-0.0741446261732273,-1.10555500868244,-0.0288855192241415,0.474368058644477,0.655434993328794,-3.79328673589807,0.350560695266748,-0.621431214802816,0.630798870325602,0.51360519767311,-0.770835993283746,-0.779162292122191,0.0946922058565471,-0.944182765700872
