"","blcdb9-I","263d3f-I","c4155b-C"
"ADGRL1",-1.51160000293305,0,0.378351255354887
"ADGRL2",0,-1.66558625946918,0.12604304459374
"ADGRL3",1.1738165487982,-0.81545260366532,0
"ADGRL4",0.854516042193997,-1.13874062201379,0
"ADH1B",0,-1.64571833829028,0.161370663394655
"ADH1C",0,0.993474836912198,-1.0065110012393
"ADH4",1.1738165487982,-0.81545260366532,0
"ADH5",0,-0.226539736695579,1.60763390896616
"ADHFE1",1.11428451277671,-0.88118229615167,0
"ADI1",1.19734543482401,-0.788689143199555,0
"ADIPOQ",-0.56610814556701,0,1.37816270284875
"ADIPOR1",0.180907242712759,-1.63449693652943,0
"ADIPOR2",1.1738165487982,-0.81545260366532,0
"ADIRF",-1.66617528582188,0,0.124980693736964
"ADK",1.31141706309446,-0.652014285019232,0
"ADNP",-1.09589366950564,0.900936458978285,0
"ADNP2",1.1738165487982,-0.81545260366532,0
"ADO",-1.59518842994606,0,0.247169109768351
"ADPGK",1.3832128112035,0,-0.559409876942923
"ADPRH",1.42808743112114,-0.498566987346749,0
"ADPRHL2",1.2317664471529,-0.748691275947579,0
