"","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-WVLH-0011-R10A-SM-HAKXZ","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-Q2AG-0011-R10A-SM-HAKXT","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-RU72-0011-R10A-SM-HAKXS"
"ABCC4",-1.04996720058905,-0.0272617372421382,2.1535589128616,-0.315243009063786,0.597862892684245,-0.0106872261759212,0.0106872261759214,1.11676996447818,-1.30125436904305,0.258680943639434
"ABCC8",0.0574158086543707,-0.258348169821694,-3.16697858947554,-0.404537354339442,0.0195707964929667,-0.0906812042814638,-0.0195707964929667,0.0527805430994221,0.166242639409783,0.0330814001315815
"ABCC9",-0.244182036953328,-2.1590583785486,-2.11170273564464,0.360538079237579,0.686456551178153,0.185085484654962,0.0498397453906341,-0.0498397453906341,0.293374906962621,-0.641383348030357
"ABCD1",1.80026670933934,1.24210676163784,1.01185103285169,-0.252063747449823,1.87775719110319,-0.134494104086797,-0.359853942695855,-0.604822113239115,0.134494104086797,-0.784929120732879
"ABCD2",0.339496116021455,-1.82209062242259,0.0262605258094669,-2.34239002070633,0.300982469155585,-0.442315846338148,0.356950755228503,0.729742435358774,-0.0262605258094669,-0.559740900942345
"ABCD3",-0.398271218886859,0.677241981034688,0.949032072893868,-1.52405165319567,1.01102211643249,1.5896519135153,-1.21147383079049,0.0726845135505507,-0.420868812938674,-0.0726845135505507
"ABCD4",0.503010096625836,0.286272113200571,0.372981999890179,-0.202336146779872,1.4197506090734,0.202336146779872,-0.840659637397784,-2.10120798397547,-1.10390534158984,-0.764504142464032
"ABCE1",-1.42999270098878,0.0598420282434273,0.0506536477772757,-1.64343589313171,0.697141069197002,-0.0506536477772757,-1.17272275471856,-1.60599273616097,0.912213763169564,0.544635022428242
"ABCF1",-0.646062438039917,0.239720975227828,0.512576574723548,-0.012646962170074,1.46325862515893,0.79733751641134,-1.67252886689235,0.0126469621700736,-1.67149432337851,-0.100144500037714
"ABCF2",0.331229177470859,1.97065520888258,0.269016727784476,0.328567153481369,1.27388021516478,-0.748817214931772,-0.708913353935445,-1.22960305515313,-0.759636139368093,-0.269016727784476
"ABCF3",0.475247297457307,0.358655260992818,-0.380463242035851,-1.56686861333068,0.602568403675302,1.9918880121142,0.0491110186988936,-1.0338403217562,-0.80895511786103,-0.0491110186988938
"ABCG1",-0.281909295410099,-0.991826495142051,-0.202741539741057,-1.21439798172386,-1.04835517308476,0.409112227497086,0.677955945745794,0.766231800472943,2.01940182203415,0.202741539741057
"ABCG2",-0.658457668436073,0.231158554567447,0.858011270803217,-1.37149603408484,0.793259697042979,-0.231158554567447,0.461848238424482,1.1603482245218,-0.638061218550266,-1.84381086630876
"ABHD10",0.331810323899746,-0.495671911955867,-0.571476981507398,0.276403970654593,-0.276403970654593,-0.303389382887847,1.63432370655812,1.84495486658351,1.07650603907424,-1.17746120741831
"ABHD11",1.21750426858646,1.42869319745301,-0.576686163683436,0.266066261930925,-0.0748068603348869,-0.955149916534145,0.0748068603348869,0.927397285411685,-0.216014132983572,-1.80312602988925
"ABHD12",0.0856127896912658,-0.127993977965867,-0.973167028822093,-1.85578632593064,1.10627967366752,-1.12402194861243,0.714329852061188,0.846578177526982,0.941298926307958,-0.0856127896912658
"ABHD13",0.0210065366518942,0.00604363116596707,-1.67243795304164,0.045849201389611,0.0648928239689314,-0.163381080599718,-2.37584622221996,-0.00604363116596707,-2.04931229750229,0.0637825780435486
"ABHD14A-ACY1",-0.260139700934238,0.0711434618661356,0.606331706760188,0.357960113074293,-0.363242835830912,-1.97469443217,-0.906500884609737,1.51876470388777,1.12595204611103,-0.0711434618661353
"ABHD14B",-0.581898115611085,0.034958538390199,-0.034958538390199,1.15341112426529,-0.767971357889472,0.408178783198156,-0.236251689306272,1.83058051874239,-0.536617925370994,1.98388848774675
"ABHD16A",0.149839000280653,0.109874323172588,-2.06425592593839,-2.02077587206769,-0.373881486582414,-0.943483649123953,0.00464147614504831,0.965387583252896,0.350779387549609,-0.00464147614504831
