"","11BR020","20BR007","11BR047","11BR030","11BR024","05BR029","11BR073","21BR010","11BR074","20BR008","01BR027","18BR003","11BR025","11BR028","11BR017","11BR015","11BR023","11BR006"
"TRMT5",0.187185146048302,0.629315910887702,0.461762437992431,0.803549393832738,0.595006773763206,0.934939907972244,0.324735834103545,-0.289230934754978,0.0652332146845559,-1.79535207399317,2.27149735735051,-0.283956349424334,-0.678359937964057,-1.03441669860497,-0.0652332146845558,-0.217112536821384,-1.95199277826051,-0.679697534888846
"TRMT6",-0.878195240532914,-0.0589328622996142,-0.654193519175637,0.743246082503833,1.42417182566538,0.0589328622996142,1.45443001213065,-0.18416077590899,0.772032455442716,-0.728980858954403,1.42192075870861,0.446209147262264,-1.43011228699761,-1.1388130528237,0.358057683024476,0.377676507428275,-1.98701235245379,-0.404429270103745
"TRMT61A",-0.122870548334779,-0.740558600657701,0.755084116060883,-1.03555478509939,1.34677566623404,-1.07617351025704,0.772075875356039,0.122870548334779,-1.50499571781845,-0.535936205849448,-0.707814390322787,-1.07903907753886,0.418252847644,1.5223026069133,-0.873071332766901,0.698561153020725,1.51993689121256,0.975689356036715
"TRMT61B",1.31522229259363,-1.86173705447477,0.648634431736779,-0.215713575824817,1.00053474964048,-0.493381753800584,-2.14375339733299,-0.437573621990461,-0.391555694779005,1.20414078367147,-0.903670093493158,-0.471102751952386,0.97460152753513,0.960915703241695,0.0321459657052633,0.749128624831072,-0.0321459657052635,0.486607239230461
"TRMU",0.56877415548201,-1.21063420471213,-0.0546249816175308,-0.796930046578982,0.929810262790045,-1.57813048546129,0.0619933030127372,-0.263908046399268,-2.40541745994853,0.207947683180726,-0.835529300347256,-0.846519055684116,1.19764372370341,1.03593007032914,-0.50383174601813,0.955920883501609,0.790487818893287,0.0546249816175308
"TRNAU1AP",1.01205774086935,-0.963577383620848,0.970983693219207,-0.981521433897087,1.01180426965131,-0.983962381799233,-0.951610994758007,-0.995708366186166,-0.92787100439778,0.928791163843652,-0.952672980322841,-0.962340746678597,0.928303958978044,1.04074920339026,-0.959820358751836,0.92787100439778,0.997041189757944,0.98718401433823
"TRNT1",-0.367676176482691,0.797552410136883,-1.09817766897542,0.318182680146835,-1.14823272866476,0.206795060428981,0.944661328233091,0.797552410136883,1.27395497157213,-0.56918977891983,1.71378353564091,0.318686117794365,-0.206795060428982,-1.31326697551609,0.98111524276077,-0.50300116881776,-1.78692926061109,-0.942895192031911
"TROVE2",-0.422870587233957,0.667980628196554,0.608370503981384,-2.78091024574513,2.36826871655759,-0.414590842105544,1.00762659953031,0.633638126509192,-0.0291446912862972,-0.574972739004455,-0.371966042967315,0.322002931059678,-0.117613797174094,-0.0221726384373203,0.0221726384373203,0.229291107334066,-0.634678794791578,0.245836350912962
"TRPC4AP",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
"TRPM4",0.787330389492366,-1.77049363902766,-0.0922958683453584,-1.23452776347641,0.157909235079297,-0.0213482196828874,-1.98674305548337,-1.81171590515017,-1.59211068926114,0.652818567444288,-0.94870061374909,0.187004654619354,1.07613044989063,0.0213482196828874,-0.734654538095091,0.739327781309355,0.437020258784178,0.238570486155872
