,C3N-03452,C3N-01197,C3N-02684,C3N-01365,C3N-01191,C3N-03446,C3N-03450,C3N-03026
TMEM119,-0.36,-0.15,0.35,0.32,-0.08,-0.36,0.11,0.39
TMEM120A,0.04,-0.76,-0.16,-0.24,-0.24,-0.27,0.09,-0.17
TMEM120B,NA,NA,0.96,NA,NA,NA,-0.11,NA
TMEM126A,0.81,1.31,1.27,1.43,0.09,0.48,0.75,0.91
TMEM126B,NA,NA,NA,0.93,NA,0.46,0.07,NA
TMEM127,0.28,0.67,-0.38,1.21,-0.16,0.29,NA,0.16
TMEM128,NA,NA,NA,NA,NA,NA,NA,NA
TMEM129,NA,NA,1.02,NA,NA,NA,NA,NA
TMEM131,-0.62,-0.47,-0.7,-0.43,-0.17,-0.59,-0.51,-0.57
TMEM132A,0.8,0.6,1.15,1.23,0.23,0.28,0.49,0.93
TMEM132B,1.16,1.18,1.8,1.73,-0.13,0.4,0.73,1.16
TMEM132C,0.73,0.77,-0.03,0.8,-0.16,0.1,-0.42,0.9
TMEM132E,0.14,0.46,0.41,0.3,0.78,-0.01,0.15,-0.33
TMEM134,-0.54,-0.81,-0.18,-0.06,0.28,-0.1,0.5,-0.1
TMEM135,0.72,0.45,0.51,0.33,0.48,0.17,0.26,0.6
TMEM143,1.69,1.31,1.42,2.01,0.13,0.49,1.74,1.83
TMEM145,1.14,NA,NA,1.3,NA,0.75,NA,1.2
TMEM147,-0.49,-0.55,0.24,0.39,-0.61,-0.18,-0.1,-0.27
TMEM14C,0.33,0.01,NA,NA,-0.23,NA,-0.3,0.41
TMEM151A,0.55,1.19,NA,NA,1.91,NA,NA,0.83
TMEM159,0.37,-0.39,0.39,0.98,-0.23,-0.13,0.24,0.89
TMEM161A,-0.72,-0.4,-0.69,NA,-0.26,NA,-0.14,-0.8
TMEM163,0.82,1.18,1.22,2.31,-0.16,0.68,0.74,0.74
TMEM165,-0.71,-0.56,0.07,-0.56,-0.44,-0.44,-0.71,-0.88
TMEM167A,-0.74,-0.74,-1.29,-1.88,-1.5,-0.86,-1.77,-1.45
TMEM167B,-0.51,-0.74,-0.34,-0.8,-1.08,0.31,-0.56,-0.58
